500 19100
0 1 86
1 3 14
3 39 56
39 48 57
48 49 80
49 50 14
50 58 50
58 60 95
60 100 86
100 102 28
102 103 85
103 104 23
104 107 25
107 110 38
110 118 39
118 119 98
119 126 48
126 127 56
127 141 74
141 143 6
143 153 12
153 165 80
165 172 13
172 175 46
175 177 77
177 178 13
178 181 28
181 196 10
196 217 93
217 223 89
223 225 75
225 254 62
254 256 54
256 262 15
262 263 53
263 281 94
281 285 18
285 290 78
290 296 23
296 297 33
297 300 16
300 301 36
301 305 10
305 318 47
318 331 52
331 336 91
336 346 31
346 349 28
349 361 24
361 370 98
370 371 71
371 380 29
380 384 47
384 391 70
391 392 38
392 394 81
394 402 79
402 409 1
409 414 39
414 425 78
425 433 8
433 436 73
436 454 28
454 458 45
458 481 95
481 483 22
483 486 34
486 488 63
488 491 53
491 492 17
492 499 31
69 335 13
94 173 95
165 338 76
113 216 43
184 317 77
260 317 13
151 322 13
42 482 31
52 71 93
80 478 65
437 465 91
0 344 44
207 271 76
91 158 4
197 390 52
453 497 10
85 467 80
69 217 17
282 490 77
30 376 69
87 154 54
398 487 36
3 211 73
460 465 5
42 46 5
347 470 36
24 62 87
23 192 4
193 291 70
162 390 95
318 456 66
245 427 23
57 307 77
100 186 97
124 389 19
6 314 14
7 29 37
153 309 84
182 303 21
272 432 70
108 204 21
189 458 84
261 343 43
184 441 85
93 107 76
17 80 89
167 397 93
181 266 44
19 497 50
57 133 75
45 72 85
316 457 45
32 322 72
101 132 77
320 474 3
79 489 88
77 79 51
230 420 11
153 270 10
132 298 23
117 187 30
248 274 6
287 381 86
166 457 8
295 356 58
220 496 87
86 413 28
51 402 80
121 369 1
0 205 60
51 443 79
326 400 92
418 453 24
76 147 63
180 324 77
96 250 42
106 427 100
157 386 39
243 311 56
181 476 95
289 447 96
200 476 49
137 421 58
146 285 94
162 183 27
207 492 10
78 334 88
6 109 40
54 402 92
0 364 12
7 75 71
60 114 74
288 333 86
67 244 66
42 321 43
160 293 6
405 423 23
21 311 43
217 302 51
256 397 72
254 299 98
108 244 92
300 414 29
311 322 65
237 286 61
62 109 39
309 399 55
123 470 81
101 376 46
234 338 96
286 365 60
139 183 46
402 427 16
148 368 22
92 325 82
322 380 54
39 175 56
286 355 14
355 431 8
80 132 55
395 424 98
67 143 63
237 254 48
251 438 67
137 201 40
75 443 93
24 485 19
29 327 10
410 439 22
307 309 7
9 259 70
253 364 89
108 113 74
172 295 27
105 496 70
414 436 45
65 346 63
250 358 13
275 327 96
148 394 62
149 328 43
162 187 56
337 405 13
50 375 39
207 466 70
127 173 39
158 362 76
137 225 38
79 105 48
38 407 20
477 499 46
175 355 83
59 183 79
188 467 48
93 464 34
345 403 33
195 331 80
375 426 78
63 424 58
277 315 28
22 143 86
97 401 97
275 355 40
283 329 9
161 448 65
29 243 1
192 265 28
19 385 20
65 88 11
182 382 20
24 56 28
29 149 34
273 367 90
66 459 95
43 312 64
407 493 32
84 136 67
80 186 6
183 384 82
87 296 1
217 388 29
3 428 65
319 453 58
197 241 97
4 498 80
350 471 61
147 320 87
26 445 61
26 211 47
97 284 72
63 270 22
12 265 18
93 311 68
68 150 76
80 102 88
13 488 98
96 433 70
36 435 39
