420 300
0 153 20
153 194 83
194 278 61
278 207 37
207 197 61
197 281 14
281 170 98
170 325 63
325 260 26
260 48 20
48 25 47
25 327 40
327 40 82
40 245 89
245 387 1
387 95 35
95 7 35
7 105 26
105 155 5
155 269 6
269 350 14
350 176 3
176 383 10
383 49 16
49 137 50
137 101 36
101 289 44
289 321 11
321 11 41
11 94 11
94 120 23
120 37 64
37 394 30
394 159 54
159 334 29
334 100 51
100 189 83
189 185 66
185 268 42
268 219 22
219 161 64
161 42 86
42 117 66
117 98 26
98 401 85
401 143 15
143 146 89
146 291 8
291 193 19
193 352 4
352 248 31
248 277 2
277 337 62
337 284 45
284 261 90
261 46 58
46 292 64
292 88 93
88 361 18
361 165 61
165 407 22
407 418 76
418 318 2
318 294 88
294 92 93
92 273 34
273 283 17
283 226 27
226 314 77
314 20 95
20 45 86
45 84 49
84 275 60
275 396 40
396 235 78
235 156 70
156 214 59
214 225 34
225 209 44
209 254 88
254 29 21
29 116 75
116 73 31
73 419 1
108 246 64
196 288 58
34 224 25
202 392 1
342 8 33
153 13 93
178 366 89
1 67 50
216 189 33
355 237 57
327 274 56
95 41 79
55 31 79
157 201 25
64 43 98
59 212 92
265 268 13
50 328 47
47 284 57
272 317 93
185 210 12
106 18 74
62 116 68
262 203 75
104 147 83
417 129 7
28 160 64
267 181 9
184 97 79
133 109 56
2 355 7
351 295 57
203 106 45
209 383 34
183 277 70
183 27 50
18 104 38
415 206 6
119 196 73
118 233 71
94 90 5
72 415 46
364 26 14
326 133 100
52 201 39
98 150 47
339 383 4
146 292 13
5 196 68
331 336 44
197 32 7
97 417 86
4 354 60
358 25 15
92 416 8
33 355 51
176 166 57
217 332 78
43 415 63
383 384 4
409 178 18
224 109 41
304 369 80
266 405 57
122 111 65
333 106 12
201 218 47
267 392 68
195 84 25
157 218 88
263 245 44
335 183 4
273 66 89
137 286 77
399 373 61
356 184 46
218 151 65
345 410 7
60 239 35
379 21 97
78 242 34
227 34 25
53 146 28
373 105 45
240 313 100
136 85 97
401 20 37
76 125 49
198 106 60
26 401 30
80 117 36
305 135 64
269 331 92
280 251 61
265 404 96
297 323 58
39 328 31
128 189 33
17 237 24
50 311 16
117 376 39
112 39 48
355 102 28
295 294 92
10 262 38
151 293 22
155 81 15
292 327 76
256 182 93
132 125 44
120 103 75
163 75 79
75 252 59
302 335 91
26 139 49
371 77 46
170 177 90
317 31 90
75 37 61
281 150 53
359 130 70
383 293 42
29 248 98
379 227 54
78 372 13
171 13 52
410 115 33
324 383 91
146 88 86
348 80 58
67 168 22
73 215 11
308 74 77
119 198 57
342 205 1
295 182 83
49 164 29
353 212 65
325 254 56
377 272 68
84 257 58
126 217 27
208 70 32
138 45 68
109 159 31
286 278 31
273 238 51
285 78 2
139 140 49
69 82 81
101 379 74
13 359 59
290 107 15
293 219 9
33 238 78
40 75 9
299 328 27
112 80 21
280 222 62
37 356 12
104 60 80
211 399 85
53 46 30
3 47 90
368 144 66
402 172 87
348 19 76
260 362 93
120 39 74
386 10 44
89 26 7
289 225 82
405 20 97
254 412 69
346 206 93
12 146 82
383 382 98
231 320 98
229 286 19
396 74 42
314 0 32
293 375 14
258 141 59
219 48 33
56 4 98
292 208 2
159 357 58
154 313 89
260 358 74
152 287 34
184 75 65
181 298 78
340 254 46
49 324 54
295 141 82
287 357 45
290 112 30
276 89 36
56 18 97
271 172 44
381 291 100
176 122 86
297 292 57
83 341 43
56 130 20
55 53 9
58 106 26
305 63 63
30 203 46
97 306 63
35 266 28
381 126 94
229 133 84
110 178 87
156 7 59
146 162 15
