family,graph_name,n,m,total_time,algorithm_time,bfs_time_total,dfs_time_total,num_iterations,num_augmenting_paths,max_flow,min_cut_value
,general_e_1,150,300,0.000534,0.002267,0.000193,0.002074,3,5,41,41
,general_e_10,150,1200,0.002593,0.007119,0.000844,0.006275,5,28,590,590
,general_e_11,150,1300,0.000388,0.001045,0.000131,0.000914,1,11,181,181
,general_e_12,150,1400,0.001989,0.005401,0.000761,0.00464,4,23,459,459
,general_e_13,150,1500,0.001686,0.004512,0.000635,0.003878,3,21,386,386
,general_e_14,150,1600,0.001421,0.003586,0.000411,0.003175,3,22,512,512
,general_e_15,150,1700,0.002316,0.006552,0.000812,0.00574,4,32,568,568
,general_e_16,150,1800,0.001271,0.003319,0.000582,0.002737,2,17,394,394
,general_e_17,150,1900,0.000991,0.002439,0.00031,0.002129,2,26,479,479
,general_e_18,150,2000,0.004737,0.012282,0.001104,0.011178,7,260,3036,3036
,general_e_19,150,2100,0.002764,0.007406,0.001048,0.006358,4,47,1095,1095
,general_e_2,150,400,0.001066,0.00417,0.000354,0.003816,8,14,210,210
,general_e_20,150,2200,0.002818,0.006889,0.00099,0.005899,4,50,969,969
,general_e_3,150,500,0.000779,0.002714,0.000277,0.002438,4,4,82,82
,general_e_4,150,600,0.001333,0.004806,0.000457,0.004348,6,15,265,265
,general_e_5,150,700,0.001126,0.003914,0.000416,0.003498,5,11,121,121
,general_e_6,150,800,0.001208,0.004251,0.000344,0.003907,5,24,280,280
,general_e_7,150,900,0.001118,0.003367,0.000326,0.003041,4,12,209,209
,general_e_8,150,1000,0.001157,0.003452,0.000422,0.00303,3,19,278,278
,general_e_9,150,1100,0.001526,0.004141,0.000526,0.003615,4,31,580,580
