family,graph_name,n,m,total_time,algorithm_time,bfs_time_total,dfs_time_total,num_iterations,num_augmenting_paths,max_flow,min_cut_value
,general_v_1,80,300,0.000442,0.001164,0.000149,0.001015,4,14,198,198
,general_v_10,260,300,0.000494,0.003604,0.000172,0.003431,4,4,20,20
,general_v_11,280,300,0.000447,0.00318,0.000151,0.00303,4,4,23,23
,general_v_12,300,300,0.00031,0.002018,0.000128,0.001889,3,3,19,19
,general_v_13,320,300,8.1e-05,0.00047,4.5e-05,0.000425,1,1,1,1
,general_v_14,340,300,0.000125,0.001715,4.7e-05,0.001668,1,1,2,2
,general_v_15,360,300,0.000203,0.002825,6.5e-05,0.00276,2,2,7,7
,general_v_16,380,300,0.000132,0.001243,6.6e-05,0.001177,1,1,6,6
,general_v_17,400,300,0.000114,0.00077,8.2e-05,0.000688,1,1,3,3
,general_v_18,420,300,0.000162,0.001792,8.9e-05,0.001702,1,1,1,1
,general_v_19,440,300,0.000191,0.002846,6.4e-05,0.002782,2,2,7,7
,general_v_2,100,300,0.000408,0.001245,0.000157,0.001088,3,5,43,43
,general_v_20,460,300,0.000135,0.001248,8.1e-05,0.001167,1,1,1,1
,general_v_3,120,300,0.000301,0.001328,9.5e-05,0.001233,3,4,149,149
,general_v_4,140,300,0.000401,0.001763,0.000169,0.001594,3,5,22,22
,general_v_5,160,300,0.000377,0.001645,0.000113,0.001532,3,4,100,100
,general_v_6,180,300,0.000509,0.00232,0.000185,0.002135,5,6,102,102
,general_v_7,200,300,0.000614,0.003319,0.000196,0.003123,6,9,59,59
,general_v_8,220,300,0.000739,0.005179,0.000201,0.004978,6,8,33,33
,general_v_9,240,300,0.000237,0.001234,0.000105,0.001129,2,2,34,34
