family,graph_name,n,m,total_time,algorithm_time,bfs_time_total,dfs_time_total,num_iterations,num_augmenting_paths,max_flow,min_cut_value
bidirectional,bidirectional_1,6,10,3.4e-05,4.6e-05,1.2e-05,3.4e-05,1,1,5,5
bidirectional,bidirectional_2,8,14,1.9e-05,3.3e-05,6e-06,2.7e-05,1,1,5,5
bidirectional,bidirectional_3,10,18,2.2e-05,4.7e-05,7e-06,4e-05,1,1,6,6
crosslinked,crosslinked_1,7,10,2.5e-05,2.8e-05,6e-06,2.2e-05,1,4,17,17
crosslinked,crosslinked_2,8,14,3.8e-05,5.3e-05,7e-06,4.6e-05,2,6,22,22
crosslinked,crosslinked_3,10,18,5.1e-05,9.4e-05,1.4e-05,8.1e-05,2,6,20,20
dense,dense_1,6,13,2.9e-05,3.2e-05,8e-06,2.4e-05,2,5,24,24
dense,dense_2,8,22,4e-05,5e-05,1e-05,4e-05,2,5,24,24
dense,dense_3,10,32,4.9e-05,6.5e-05,1.1e-05,5.4e-05,2,7,25,25
layered,layered_1,6,7,1.5e-05,1.7e-05,5e-06,1.2e-05,1,2,9,9
layered,layered_2,8,10,2.2e-05,3e-05,5e-06,2.5e-05,1,4,20,20
layered,layered_3,10,13,2.6e-05,4.7e-05,8e-06,3.9e-05,1,4,20,20
sample,sample1,6,10,2.5e-05,3.4e-05,8e-06,2.6e-05,2,4,17,17
sample,sample2,8,14,2.7e-05,3.6e-05,7e-06,2.9e-05,2,4,15,15
sample,sample3,10,18,2.4e-05,2.8e-05,6e-06,2.2e-05,1,3,14,14
sparse,sparse_1,6,5,1.2e-05,1.6e-05,4e-06,1.2e-05,1,1,5,5
sparse,sparse_2,8,7,1.2e-05,2.2e-05,4e-06,1.8e-05,1,1,5,5
sparse,sparse_3,10,9,1.3e-05,2.8e-05,4e-06,2.5e-05,1,1,5,5
