family,graph_name,n,m,total_time,algorithm_time,bfs_time_total,dfs_time_total,num_iterations,num_augmenting_paths,max_flow,min_cut_value
,simple_e_1,150,300,0.001265,0.005361,0.000391,0.00497,10,16,44,44
,simple_e_10,150,1200,0.002508,0.006373,0.000871,0.005502,5,46,450,450
,simple_e_11,150,1300,0.001707,0.004105,0.00061,0.003495,4,28,209,209
,simple_e_12,150,1400,0.002172,0.005801,0.000755,0.005045,4,35,397,397
,simple_e_13,150,1500,0.002228,0.00547,0.000822,0.004647,4,39,429,429
,simple_e_14,150,1600,0.001389,0.003271,0.000397,0.002873,3,42,462,462
,simple_e_15,150,1700,0.00239,0.005807,0.000954,0.004853,4,45,461,461
,simple_e_16,150,1800,0.0022,0.005766,0.000853,0.004913,4,37,410,410
,simple_e_17,150,1900,0.001501,0.00348,0.000455,0.003025,3,38,392,392
,simple_e_18,150,2000,0.004415,0.011466,0.001172,0.010293,7,197,2423,2423
,simple_e_19,150,2100,0.001561,0.003432,0.000509,0.002923,3,42,506,506
,simple_e_2,150,400,0.00133,0.004753,0.000419,0.004334,9,22,103,103
,simple_e_20,150,2200,0.003,0.006987,0.001135,0.005852,4,66,897,897
,simple_e_3,150,500,0.000777,0.002411,0.000239,0.002172,5,13,62,62
,simple_e_4,150,600,0.000981,0.003039,0.000301,0.002738,5,20,188,188
,simple_e_5,150,700,0.001487,0.004524,0.000518,0.004006,6,23,105,105
,simple_e_6,150,800,0.001162,0.00313,0.000426,0.002703,4,26,180,180
,simple_e_7,150,900,0.000995,0.002638,0.000323,0.002315,4,17,108,108
,simple_e_8,150,1000,0.001459,0.003859,0.000512,0.003347,4,32,255,255
,simple_e_9,150,1100,0.001564,0.003997,0.000566,0.003431,4,41,432,432
