family,graph_name,n,m,total_time,algorithm_time,bfs_time_total,dfs_time_total,num_iterations,num_augmenting_paths,max_flow,min_cut_value
,unitcap_e_1,150,300,0.000268,0.001257,8.4e-05,0.001173,2,10,10,10
,unitcap_e_10,150,1200,0.000856,0.004515,0.000378,0.004137,1,14,14,14
,unitcap_e_11,150,1300,0.000846,0.004104,0.000379,0.003725,1,14,14,14
,unitcap_e_12,150,1400,0.000921,0.004427,0.000394,0.004033,1,14,14,14
,unitcap_e_13,150,1500,0.000909,0.004509,0.0004,0.004109,1,14,14,14
,unitcap_e_14,150,1600,0.000967,0.004864,0.000421,0.004443,1,14,14,14
,unitcap_e_15,150,1700,0.001014,0.005093,0.000424,0.004669,1,14,14,14
,unitcap_e_16,150,1800,0.001027,0.00517,0.000462,0.004708,1,14,14,14
,unitcap_e_17,150,1900,0.001185,0.005345,0.000562,0.004784,1,14,14,14
,unitcap_e_18,150,2000,0.001264,0.006498,0.000499,0.005999,1,14,14,14
,unitcap_e_19,150,2010,0.001091,0.005347,0.000479,0.004869,1,14,14,14
,unitcap_e_2,150,400,0.000167,0.000616,4.6e-05,0.000571,1,13,13,13
,unitcap_e_20,150,2010,0.00111,0.005443,0.00048,0.004963,1,14,14,14
,unitcap_e_3,150,500,0.000318,0.001405,0.000159,0.001246,1,14,14,14
,unitcap_e_4,150,600,0.000387,0.001782,0.00019,0.001592,1,14,14,14
,unitcap_e_5,150,700,0.000187,0.000628,7.5e-05,0.000553,1,14,14,14
,unitcap_e_6,150,800,0.000479,0.002325,0.000213,0.002112,1,14,14,14
,unitcap_e_7,150,900,0.000556,0.002692,0.000237,0.002455,1,14,14,14
,unitcap_e_8,150,1000,0.000793,0.003651,0.000379,0.003271,1,14,14,14
,unitcap_e_9,150,1100,0.00064,0.003152,0.000288,0.002865,1,14,14,14
