family,graph_name,n,m,total_time,algorithm_time,bfs_time_total,dfs_time_total,num_iterations,num_augmenting_paths,max_flow,min_cut_value
,unitcap_v_1,80,300,0.000158,0.000411,4.9e-05,0.000362,1,13,13,13
,unitcap_v_10,260,300,0.000108,0.000316,6.6e-05,0.000251,1,1,1,1
,unitcap_v_11,280,300,0.000108,0.000339,7e-05,0.000269,1,2,2,2
,unitcap_v_12,300,300,7.8e-05,0.000261,4.4e-05,0.000217,1,1,1,1
,unitcap_v_13,320,300,8.9e-05,0.00024,5.6e-05,0.000184,1,1,1,1
,unitcap_v_14,340,300,8.3e-05,0.000247,4.4e-05,0.000203,1,1,1,1
,unitcap_v_15,360,300,8e-05,0.000216,4.2e-05,0.000175,1,1,1,1
,unitcap_v_16,380,300,3.6e-05,0.000113,1.7e-05,9.6e-05,1,1,1,1
,unitcap_v_17,400,300,4.4e-05,0.000153,2.2e-05,0.000131,1,1,1,1
,unitcap_v_18,420,300,5.3e-05,0.000155,2.7e-05,0.000127,1,1,1,1
,unitcap_v_19,440,300,5e-05,0.000151,2.6e-05,0.000125,1,1,1,1
,unitcap_v_2,100,300,0.000204,0.000776,9.1e-05,0.000685,1,10,10,10
,unitcap_v_20,460,300,5.9e-05,0.000185,3.2e-05,0.000153,1,1,1,1
,unitcap_v_3,120,300,0.000187,0.000614,9.6e-05,0.000518,1,12,12,12
,unitcap_v_4,140,300,0.000357,0.001639,0.000155,0.001484,3,14,14,14
,unitcap_v_5,160,300,0.000263,0.001198,9.9e-05,0.001099,3,11,11,11
,unitcap_v_6,180,300,0.000108,0.000363,5e-05,0.000313,1,6,6,6
,unitcap_v_7,200,300,0.000192,0.000613,8.5e-05,0.000527,2,5,5,5
,unitcap_v_8,220,300,0.000146,0.000556,8.1e-05,0.000475,1,5,5,5
,unitcap_v_9,240,300,8e-05,0.000302,3.7e-05,0.000264,1,2,2,2
