family,graph_name,n,m,total_time,algorithm_time,bfs_time_total,dfs_time_total,num_iterations,num_augmenting_paths,max_flow,min_cut_value
,worst_e_1,150,300,0.000136,0.000818,5.1e-05,0.000766,1,1,1,1
,worst_e_10,150,1200,0.001134,0.003001,0.000519,0.002482,2,6,6,6
,worst_e_11,150,1300,0.001432,0.004527,0.000605,0.003922,3,7,7,7
,worst_e_12,150,1400,0.000426,0.001255,0.000125,0.001129,1,3,3,3
,worst_e_13,150,1500,0.000852,0.002537,0.000269,0.002268,2,3,3,3
,worst_e_14,150,1600,0.00232,0.006676,0.000834,0.005843,4,16,16,16
,worst_e_15,150,1700,0.000648,0.001615,0.000403,0.001212,1,6,6,6
,worst_e_16,150,1800,0.000864,0.002262,0.000292,0.00197,2,6,6,6
,worst_e_17,150,1900,0.000493,0.001436,0.000155,0.001281,1,3,3,3
,worst_e_18,150,2000,0.001033,0.00242,0.000427,0.001994,2,9,9,9
,worst_e_19,150,2100,0.001967,0.004884,0.000648,0.004235,4,12,12,12
,worst_e_2,150,400,0.000335,0.001156,0.000164,0.000992,2,3,3,3
,worst_e_20,150,2200,0.002221,0.005398,0.000979,0.004419,3,13,13,13
,worst_e_3,150,500,0.000183,0.000509,0.000109,0.0004,2,2,2,2
,worst_e_4,150,600,0.000553,0.001669,0.000263,0.001406,2,2,2,2
,worst_e_5,150,700,0.000656,0.002393,0.000198,0.002194,3,3,3,3
,worst_e_6,150,800,0.000598,0.001931,0.000211,0.00172,3,3,3,3
,worst_e_7,150,900,0.000573,0.001961,0.000163,0.001799,2,2,2,2
,worst_e_8,150,1000,0.000541,0.001566,0.000165,0.001401,2,6,6,6
,worst_e_9,150,1100,0.000633,0.001795,0.000202,0.001593,2,7,7,7
