family,graph_name,n,m,total_time,algorithm_time,bfs_time_total,dfs_time_total,num_iterations,num_augmenting_paths,max_flow,min_cut_value
,worst_v_1,80,300,0.000468,0.001488,0.000139,0.001349,4,4,4,4
,worst_v_10,260,300,0.000116,0.000977,4.2e-05,0.000936,1,1,1,1
,worst_v_11,280,300,8.7e-05,0.000459,3.6e-05,0.000423,1,1,1,1
,worst_v_12,300,300,8.1e-05,0.00076,3.4e-05,0.000726,1,1,1,1
,worst_v_13,320,300,0.000153,0.00345,9.8e-05,0.003353,1,1,1,1
,worst_v_14,340,300,0.000107,0.002315,3.5e-05,0.00228,1,1,1,1
,worst_v_15,360,300,9.5e-05,0.00093,3.7e-05,0.000893,1,1,1,1
,worst_v_16,380,300,0.000109,0.001566,3.7e-05,0.001529,1,1,1,1
,worst_v_17,400,300,0.00013,0.002045,3.9e-05,0.002006,1,1,1,1
,worst_v_18,420,300,0.000122,0.004892,3.6e-05,0.004856,1,1,1,1
,worst_v_19,440,300,0.000143,0.005678,3.9e-05,0.005638,1,1,1,1
,worst_v_2,100,300,0.000218,0.000696,9.4e-05,0.000601,3,3,3,3
,worst_v_20,460,300,0.000138,0.004975,3.5e-05,0.00494,1,1,1,1
,worst_v_3,120,300,0.000141,0.00042,9.8e-05,0.000322,1,1,1,1
,worst_v_4,140,300,0.000169,0.000634,6.6e-05,0.000569,2,2,2,2
,worst_v_5,160,300,0.000135,0.000491,9.9e-05,0.000392,1,1,1,1
,worst_v_6,180,300,0.000168,0.000961,6.6e-05,0.000894,2,2,2,2
,worst_v_7,200,300,0.00013,0.000509,8.1e-05,0.000428,1,2,2,2
,worst_v_8,220,300,0.000112,0.000777,3.6e-05,0.000742,1,1,1,1
,worst_v_9,240,300,0.000132,0.000648,9.2e-05,0.000556,1,1,1,1
