150 1600
0 132 1
0 2 1
0 62 1
0 66 1
0 9 1
0 109 1
0 110 1
0 45 1
0 120 1
0 126 1
0 65 1
0 107 1
121 149 1
27 149 1
2 149 1
56 149 1
145 149 1
38 149 1
64 149 1
133 149 1
37 149 1
95 149 1
144 149 1
85 149 1
134 139 32
47 62 8
71 118 82
125 91 66
108 22 5
85 139 76
45 149 30
117 28 99
52 136 67
56 16 9
122 100 16
125 54 7
113 55 81
5 73 10
101 38 46
15 33 13
113 8 70
68 2 96
87 142 3
44 134 46
15 42 100
144 107 27
88 61 16
4 149 16
10 75 99
31 123 54
123 34 8
33 105 17
74 62 55
96 24 25
122 49 75
61 98 72
51 110 32
74 45 99
83 54 34
4 97 52
13 122 77
31 140 63
58 77 69
127 38 2
39 83 84
62 1 50
102 3 10
124 6 72
66 80 78
44 39 9
105 51 55
47 45 37
67 10 38
129 28 68
146 53 51
38 28 44
60 9 91
81 106 63
58 41 36
136 94 56
70 92 94
11 110 63
128 110 7
60 25 54
91 76 10
114 96 82
27 105 89
113 96 73
143 137 29
118 18 14
34 76 43
69 16 71
88 119 99
31 89 54
138 15 2
129 19 62
29 38 76
74 25 39
26 42 84
101 2 63
134 122 70
91 50 1
89 19 57
74 56 41
119 62 41
143 61 72
79 41 93
42 118 33
93 89 27
87 130 21
35 95 22
18 38 69
28 41 71
5 43 95
14 87 76
47 67 3
36 133 98
144 49 4
56 51 70
12 130 40
73 52 82
41 73 26
29 67 38
96 59 19
76 129 59
32 70 5
12 31 88
2 136 47
63 80 38
145 32 51
90 48 31
34 10 27
0 108 74
145 101 85
90 83 52
70 136 2
19 1 37
77 37 65
86 35 10
67 122 96
26 24 7
114 136 75
46 148 67
94 42 23
62 101 10
54 110 26
41 100 33
80 130 46
135 1 65
94 63 40
87 98 61
125 90 100
100 0 85
17 63 85
64 143 19
55 19 19
116 86 26
75 122 72
84 76 30
52 79 73
76 84 68
134 120 64
71 59 100
30 128 31
9 64 75
2 74 93
116 97 76
46 123 84
147 8 88
23 29 5
50 4 82
48 45 71
96 34 94
114 59 18
106 50 91
126 134 42
80 68 48
45 26 86
102 70 97
131 37 37
14 148 77
95 13 53
134 28 42
45 107 84
72 89 69
134 140 86
148 36 1
81 148 61
72 122 93
72 126 82
112 27 82
6 94 31
95 5 30
27 93 44
33 60 10
141 133 53
66 21 17
69 23 46
131 129 76
43 149 89
100 108 6
89 116 7
70 74 46
15 135 39
123 94 87
63 96 99
82 134 67
143 99 15
0 101 65
85 103 76
97 131 85
98 1 26
88 21 74
127 7 97
103 51 28
90 9 96
30 10 4
54 98 65
72 127 4
52 61 64
57 14 59
140 123 58
33 117 83
49 17 82
45 27 93
46 51 73
88 2 30
91 116 1
115 0 87
91 19 86
60 126 10
119 99 17
82 118 10
113 100 30
26 113 96
85 87 60
147 120 75
115 9 70
97 45 96
103 55 26
47 19 62
96 104 53
139 49 62
149 83 31
135 64 3
91 23 81
124 97 6
102 13 33
67 106 51
36 109 56
138 115 79
97 102 75
8 126 40
83 62 8
122 39 33
96 132 9
135 130 54
69 42 35
132 90 29
99 40 98
41 113 69
90 19 82
149 87 28
78 144 85
127 35 19
59 110 57
39 15 30
73 84 52
102 105 33
93 130 52
100 136 91
103 142 86
99 77 46
75 142 53
17 43 38
60 145 6
43 82 95
149 92 61
16 106 30
89 73 71
93 109 97
107 128 25
100 142 64
32 48 8
14 79 60
15 130 8
114 131 65
84 3 53
99 119 21
58 33 77
124 140 94
93 102 68
66 7 75
47 52 65
118 8 8
103 73 17
91 10 35
63 87 94
143 88 3
103 99 30
87 137 39
15 101 39
75 47 20
42 33 20
125 22 39
79 50 88
103 46 97
140 41 92
43 28 43
28 96 6
34 125 61
64 82 7
12 66 22
106 32 56
96 82 56
68 3 50
40 110 35
41 101 30
75 128 49
133 50 8
46 132 87
1 40 46
75 0 37
100 7 64
91 134 79
47 12 53
51 58 44
107 30 42
127 15 56
41 38 90
24 71 31
92 22 76
114 26 82
8 98 40
42 24 95
110 102 25
50 30 96
96 11 3
81 104 57
95 117 80
129 45 28
64 66 98
114 138 87
123 131 46
133 49 6
46 80 37
120 38 38
40 115 48
17 7 78
16 89 94
6 24 65
17 3 61
54 20 55
8 87 87
29 9 9
59 129 31
112 105 67
126 22 35
27 52 91
17 71 75
131 134 82
48 111 83
73 139 49
124 55 59
108 147 26
106 94 61
13 10 7
146 148 12
80 77 56
46 85 52
46 146 41
8 75 12
137 51 76
140 28 6
102 67 50
67 72 31
148 89 61
33 106 8
133 115 39
81 87 49
70 100 15
75 136 72
19 59 67
45 68 49
23 120 78
77 39 18
138 46 96
90 110 3
77 47 30
10 119 38
84 149 48
28 83 89
36 73 50
71 46 40
48 59 53
125 133 34
82 123 73
136 85 54
135 115 22
62 83 10
114 70 86
88 14 89
60 20 80
80 4 62
49 32 57
119 36 79
138 118 45
82 49 79
31 133 30
82 137 84
19 36 98
21 16 66
63 17 39
124 47 20
147 78 85
116 108 56
49 89 24
3 97 43
50 52 50
121 136 14
37 114 74
81 71 9
100 96 17
120 75 47
13 123 15
98 95 23
11 117 6
136 46 81
14 116 30
1 4 81
99 82 75
10 79 43
50 121 5
97 138 50
38 78 31
19 45 27
131 26 17
64 73 72
8 14 50
112 140 20
64 99 97
0 138 15
40 70 68
57 106 6
68 113 88
93 25 20
135 47 3
51 104 21
61 76 45
102 95 31
34 1 8
67 115 26
92 108 32
123 86 88
128 14 76
143 116 46
63 2 4
68 16 86
107 72 53
146 58 66
13 39 10
60 102 35
5 54 2
108 139 93
4 43 31
23 5 41
135 134 16
103 130 34
72 54 95
147 75 10
22 74 68
28 49 18
49 48 87
43 96 82
20 109 55
69 79 42
90 27 73
84 23 98
28 18 49
88 12 62
76 142 85
128 112 57
130 104 64
134 8 42
14 17 48
97 73 99
141 16 63
105 16 100
22 88 13
121 13 52
110 60 91
136 54 32
116 92 35
135 126 95
34 53 1
79 76 45
148 37 35
0 51 69
102 114 33
130 133 14
124 15 41
80 43 84
57 5 22
149 102 14
25 78 51
50 67 80
9 144 42
108 17 18
78 128 50
70 123 47
98 77 52
104 62 98
149 39 47
144 123 1
8 143 82
65 146 100
66 39 81
104 1 62
91 71 25
55 149 82
147 0 47
24 98 77
21 38 17
120 133 61
49 122 50
20 126 82
112 123 16
8 136 85
28 73 32
98 54 56
119 64 81
101 144 75
143 46 64
97 11 37
49 145 38
16 42 92
92 38 5
134 73 13
73 28 37
51 84 58
112 62 48
99 80 94
21 77 95
111 135 8
74 32 12
42 36 93
1 11 61
46 11 2
8 31 50
89 148 47
59 112 99
76 63 33
6 146 3
111 144 3
13 83 6
104 92 99
62 23 47
68 65 94
146 14 93
96 149 60
117 65 66
15 69 81
86 12 43
136 59 37
112 97 74
27 29 50
135 51 12
127 109 77
123 116 40
46 102 61
81 115 84
34 79 39
36 26 24
105 31 70
126 20 92
14 119 44
72 111 59
123 130 68
130 86 41
115 125 7
145 144 46
25 85 96
64 68 88
41 74 51
96 20 30
148 42 83
128 114 22
131 76 22
16 30 4
115 126 64
59 39 30
134 84 11
146 9 58
88 38 90
14 76 76
147 58 38
37 26 19
80 56 40
55 126 14
98 129 47
68 30 85
71 8 99
77 128 17
86 4 19
41 82 74
46 117 23
95 86 24
1 91 46
100 74 98
10 102 45
40 67 72
51 117 22
33 131 30
94 75 26
65 122 3
50 141 89
55 51 65
110 2 99
120 114 32
71 145 47
140 142 1
33 130 90
10 77 47
121 145 60
89 91 10
8 114 74
103 65 82
53 76 43
100 37 63
125 12 43
9 143 97
111 59 7
74 132 15
24 44 56
100 129 48
21 133 47
58 68 64
95 101 8
146 130 76
135 86 5
84 41 13
86 59 21
71 114 15
47 97 37
122 7 93
36 134 74
63 76 83
50 13 87
100 147 59
85 1 96
1 106 1
126 135 95
45 117 6
18 28 90
67 89 58
116 66 12
58 81 92
28 137 5
17 67 9
43 119 88
140 144 75
22 143 46
48 2 36
139 89 73
89 9 98
31 129 69
74 63 68
114 33 15
16 72 15
101 71 91
24 1 10
110 108 12
100 140 55
110 13 14
11 16 77
4 48 66
22 50 37
17 111 60
24 103 8
42 105 96
3 137 78
3 42 10
66 1 65
135 96 19
44 10 32
81 99 29
17 88 33
140 107 60
77 73 25
90 82 87
0 88 51
46 131 17
122 135 2
71 37 61
26 112 99
102 72 7
102 113 27
14 80 64
143 79 27
99 126 26
23 35 51
133 67 82
113 64 20
88 89 38
56 27 53
90 17 41
120 140 96
140 138 24
22 38 30
147 91 76
123 48 35
93 80 67
50 35 55
17 49 56
18 86 85
143 27 92
47 57 3
79 128 27
101 45 89
13 79 99
53 130 50
9 51 49
106 87 31
126 74 10
100 57 15
124 2 14
18 82 34
80 109 81
134 9 88
113 25 40
53 71 61
13 124 88
126 80 93
115 131 68
116 118 20
116 33 49
104 121 96
76 111 95
95 82 16
113 46 66
29 128 93
122 95 11
65 148 87
86 125 8
39 42 6
107 108 64
98 51 51
19 132 19
31 18 10
121 39 23
80 14 1
48 144 62
149 16 49
137 120 93
119 124 25
82 85 56
88 69 47
62 3 55
2 23 50
55 100 60
84 106 14
144 67 6
146 37 21
120 62 33
37 2 48
17 121 54
69 63 74
42 39 20
59 16 45
84 144 37
143 52 74
47 135 10
92 56 46
39 104 37
121 51 54
107 5 27
15 16 68
12 2 68
149 67 17
5 119 9
84 30 49
73 62 24
140 32 77
14 90 27
31 2 32
93 99 36
60 30 26
122 75 1
1 114 56
108 143 32
140 100 62
62 146 54
59 139 30
77 104 53
55 90 55
149 81 6
111 57 63
124 89 21
140 64 44
52 137 93
123 89 13
42 109 18
82 4 18
115 135 69
89 76 26
64 83 29
129 143 14
113 107 2
6 115 98
100 149 94
54 36 97
103 0 91
92 120 45
65 107 70
136 74 66
0 70 27
139 122 66
143 5 2
86 52 94
82 1 6
83 65 98
102 71 66
28 140 53
11 55 86
44 40 63
132 37 74
111 47 50
114 2 10
98 46 48
88 149 27
91 37 15
144 47 33
89 49 68
136 104 6
148 134 7
79 110 70
145 28 28
63 88 91
86 41 32
93 16 40
51 39 72
40 53 91
53 61 84
55 49 65
58 116 25
94 59 35
39 5 52
89 22 69
140 2 39
41 86 73
118 72 40
39 47 71
2 12 93
62 149 51
75 14 85
109 42 13
100 61 96
67 20 21
65 50 91
34 146 8
81 33 61
64 40 40
86 9 4
135 2 12
20 113 36
103 48 12
0 96 68
101 65 34
96 79 14
72 16 27
97 2 58
33 54 20
124 43 74
76 115 71
63 100 12
67 91 34
71 103 13
90 115 13
75 84 47
129 51 24
87 149 49
69 108 41
23 32 63
131 0 15
118 55 35
103 41 99
105 22 50
48 98 93
88 6 15
146 4 68
56 67 65
68 142 49
20 94 7
4 100 37
144 138 6
25 87 41
