360 300
0 54 1
0 155 1
0 250 1
0 269 1
0 346 1
0 206 1
0 144 1
0 224 1
0 302 1
0 340 1
0 157 1
0 245 1
0 320 1
0 5 1
0 301 1
0 57 1
0 212 1
0 254 1
211 359 1
257 359 1
170 359 1
322 359 1
331 359 1
119 359 1
156 359 1
24 359 1
118 359 1
313 359 1
195 359 1
303 359 1
60 359 1
35 359 1
131 359 1
218 359 1
145 359 1
304 359 1
226 283 75
131 174 73
104 213 17
54 0 24
269 271 1
200 205 2
40 113 29
126 16 99
240 67 9
240 104 49
242 197 74
309 175 17
287 216 67
317 16 86
277 222 30
27 14 43
287 73 83
268 219 55
312 20 22
67 91 23
138 129 2
287 170 85
104 96 96
23 322 22
341 302 42
224 251 3
142 65 4
300 159 38
299 274 92
249 12 77
76 342 10
253 179 82
338 309 89
137 244 67
129 302 16
12 249 92
43 304 12
69 283 24
188 211 86
167 35 35
33 355 77
298 122 73
328 324 78
198 283 89
107 106 80
57 336 70
118 149 48
164 150 97
151 326 86
222 92 75
26 15 77
84 308 95
275 131 7
30 105 47
233 123 94
225 253 43
263 298 73
88 248 81
78 241 93
182 331 82
156 276 97
322 325 31
18 342 96
47 300 89
184 230 31
60 160 42
88 358 96
308 91 60
75 107 26
299 84 38
137 283 58
114 113 66
23 241 2
180 156 6
224 182 5
222 260 96
48 291 46
31 29 41
129 304 11
312 123 84
38 150 60
339 352 59
13 163 70
327 37 94
219 83 3
3 230 60
357 309 2
258 162 44
120 41 34
70 173 84
344 184 84
334 282 3
326 101 82
16 292 76
236 303 58
273 297 89
230 118 72
216 6 75
3 147 82
162 23 12
325 277 96
348 137 86
118 178 41
321 287 5
154 105 25
206 154 98
196 139 71
115 52 63
207 61 39
245 238 98
305 290 93
221 211 50
218 333 91
146 225 47
39 154 59
282 86 27
258 4 74
138 106 32
33 116 42
151 144 34
158 148 30
84 27 48
94 63 81
242 125 63
336 308 69
190 282 11
214 157 62
280 126 15
264 181 66
206 85 15
31 6 77
189 173 47
204 199 77
65 43 21
158 22 77
122 348 50
208 154 76
15 178 4
135 309 91
310 129 12
117 321 29
320 207 30
151 132 63
20 245 19
237 71 73
23 333 18
292 112 95
281 256 89
25 236 55
26 21 32
192 247 64
77 209 82
322 120 94
278 17 30
274 37 53
133 180 49
239 230 66
131 215 50
167 277 64
348 115 100
94 93 89
351 274 47
356 184 98
240 14 35
33 247 97
64 218 56
30 187 71
32 95 41
255 100 12
91 16 94
71 185 59
304 295 2
129 251 62
345 88 15
85 95 98
283 135 54
82 327 84
82 328 37
71 325 100
211 255 81
167 278 27
258 69 58
301 282 18
274 357 6
303 272 52
170 198 92
164 126 24
306 69 60
18 296 80
112 336 76
82 16 11
117 334 32
40 356 96
294 214 46
125 38 97
110 193 46
105 204 79
163 64 48
335 278 94
66 181 39
306 136 25
312 318 90
242 313 17
222 73 80
206 53 66
91 293 31
273 79 79
42 225 57
317 9 40
149 166 53
298 121 44
37 159 31
72 34 18
354 294 50
107 198 27
16 14 93
155 103 60
119 339 82
40 58 1
192 305 48
174 17 11
244 355 14
262 11 79
200 165 33
308 331 43
165 357 54
310 350 8
19 334 90
323 142 35
313 230 22
275 11 74
345 201 5
328 274 32
8 288 66
75 307 19
15 103 90
136 305 83
35 174 17
320 104 71
303 73 28
75 86 31
92 15 53
21 287 96
304 0 22
192 297 25
328 306 95
35 24 95
185 234 31
29 310 63
6 142 8
151 23 35
207 311 2
168 138 77
269 158 73
154 347 52
303 0 9
348 179 63
12 10 9
166 227 81
125 45 12
312 99 83
341 33 75
87 10 33
150 115 57
