150 500
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 149 1
87 58 1
113 74 1
87 78 1
6 117 1
15 76 1
78 89 1
141 42 1
95 146 1
118 109 1
0 101 1
88 9 1
35 106 1
62 53 1
0 111 1
6 47 1
146 27 1
64 65 1
33 124 1
74 135 1
123 104 1
132 23 1
119 100 1
24 5 1
36 117 1
75 106 1
25 86 1
138 69 1
16 37 1
0 21 1
48 89 1
13 74 1
66 107 1
115 116 1
96 97 1
82 3 1
78 9 1
0 141 1
30 149 1
86 67 1
87 118 1
9 40 1
97 108 1
105 66 1
136 67 1
42 13 1
59 90 1
5 76 1
128 29 1
62 93 1
41 82 1
71 52 1
44 125 1
0 61 1
94 55 1
122 63 1
113 64 1
14 125 1
28 79 1
61 2 1
59 50 1
53 4 1
0 71 1
60 149 1
102 113 1
132 43 1
31 122 1
33 14 1
135 86 1
7 38 1
56 7 1
21 62 1
32 83 1
113 54 1
66 137 1
118 9 1
132 3 1
70 149 1
144 105 1
145 36 1
15 106 1
123 24 1
21 22 1
0 51 1
76 27 1
90 149 1
49 130 1
84 135 1
74 125 1
46 117 1
91 62 1
15 136 1
109 90 1
116 67 1
67 18 1
117 128 1
138 89 1
76 67 1
80 149 1
137 48 1
19 90 1
102 63 1
92 63 1
138 119 1
73 54 1
95 66 1
145 106 1
41 92 1
96 17 1
91 72 1
42 53 1
135 26 1
118 19 1
77 8 1
106 47 1
83 114 1
130 149 1
65 56 1
51 72 1
109 70 1
94 105 1
146 117 1
144 135 1
42 33 1
123 134 1
145 56 1
27 128 1
63 54 1
82 63 1
99 140 1
88 19 1
107 148 1
0 91 1
133 134 1
33 64 1
140 149 1
137 128 1
88 79 1
106 117 1
132 33 1
0 131 1
44 35 1
0 81 1
2 103 1
14 95 1
14 105 1
78 59 1
5 86 1
69 90 1
68 99 1
42 43 1
43 64 1
56 47 1
36 77 1
71 82 1
99 110 1
72 13 1
3 14 1
137 138 1
138 139 1
31 2 1
57 58 1
112 63 1
102 133 1
64 95 1
1 142 1
48 59 1
25 136 1
14 25 1
99 50 1
82 103 1
62 143 1
71 12 1
117 98 1
97 18 1
91 112 1
56 37 1
51 122 1
116 127 1
102 53 1
71 22 1
52 83 1
134 55 1
142 23 1
26 117 1
51 102 1
93 14 1
103 54 1
109 120 1
21 2 1
109 80 1
96 137 1
136 47 1
143 44 1
95 126 1
105 56 1
89 70 1
139 100 1
53 124 1
120 149 1
105 96 1
57 8 1
31 92 1
148 109 1
126 77 1
42 143 1
19 130 1
49 140 1
32 53 1
112 143 1
61 112 1
0 41 1
12 113 1
144 55 1
34 85 1
148 59 1
102 83 1
100 149 1
127 128 1
49 80 1
32 33 1
139 140 1
48 139 1
136 107 1
73 44 1
122 43 1
50 149 1
147 28 1
21 12 1
92 33 1
147 8 1
11 22 1
69 10 1
98 49 1
23 134 1
17 138 1
122 133 1
29 120 1
56 97 1
52 33 1
128 39 1
131 102 1
106 37 1
126 107 1
48 69 1
115 46 1
76 7 1
77 48 1
40 149 1
110 149 1
119 60 1
98 139 1
47 48 1
91 32 1
31 12 1
3 84 1
29 20 1
55 36 1
8 129 1
85 106 1
141 52 1
36 97 1
94 65 1
142 63 1
22 93 1
32 3 1
1 62 1
61 62 1
63 94 1
48 109 1
17 118 1
116 17 1
106 7 1
49 30 1
88 99 1
86 107 1
87 98 1
114 5 1
32 73 1
32 23 1
19 120 1
0 11 1
143 74 1
142 143 1
65 36 1
82 43 1
5 136 1
139 30 1
12 133 1
14 115 1
91 92 1
19 70 1
0 31 1
7 78 1
11 52 1
139 120 1
74 5 1
137 108 1
20 149 1
109 50 1
104 105 1
75 36 1
69 60 1
93 64 1
138 109 1
117 68 1
125 106 1
65 16 1
17 18 1
25 76 1
4 115 1
101 52 1
113 144 1
134 5 1
38 69 1
15 26 1
105 136 1
49 120 1
94 95 1
113 104 1
68 39 1
77 138 1
35 96 1
86 147 1
38 129 1
86 97 1
25 106 1
82 143 1
62 13 1
139 50 1
19 10 1
58 139 1
117 48 1
45 46 1
82 123 1
35 86 1
8 19 1
67 108 1
122 123 1
132 133 1
97 48 1
28 129 1
25 116 1
22 13 1
136 117 1
29 90 1
53 114 1
74 15 1
114 75 1
116 137 1
129 20 1
72 53 1
148 89 1
96 47 1
87 68 1
134 105 1
127 118 1
103 144 1
127 48 1
46 147 1
58 59 1
124 35 1
69 80 1
21 112 1
116 87 1
107 88 1
113 14 1
136 97 1
39 90 1
133 44 1
7 48 1
119 120 1
37 8 1
57 118 1
131 32 1
134 75 1
62 73 1
29 30 1
95 76 1
128 89 1
112 93 1
111 132 1
43 34 1
35 116 1
5 126 1
102 3 1
56 27 1
2 113 1
84 25 1
71 132 1
88 59 1
63 114 1
41 22 1
147 148 1
134 85 1
29 40 1
25 36 1
11 82 1
54 85 1
16 147 1
117 8 1
121 102 1
121 142 1
129 60 1
119 30 1
62 33 1
68 119 1
27 118 1
39 50 1
131 12 1
0 121 1
89 10 1
72 133 1
134 125 1
37 148 1
142 73 1
137 88 1
31 72 1
8 99 1
76 77 1
79 30 1
113 4 1
21 102 1
63 4 1
135 146 1
26 67 1
136 137 1
147 38 1
7 98 1
145 96 1
118 59 1
147 58 1
94 135 1
