300 300
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 299 1
85 71 1
102 298 1
0 121 1
268 284 1
66 217 1
13 194 1
59 240 1
187 233 1
86 102 1
267 73 1
270 299 1
52 83 1
0 31 1
106 242 1
170 96 1
22 83 1
247 248 1
265 251 1
57 178 1
169 20 1
5 96 1
67 113 1
46 17 1
128 264 1
295 11 1
42 58 1
147 163 1
162 73 1
234 85 1
99 280 1
245 141 1
119 195 1
211 77 1
170 171 1
154 65 1
90 299 1
238 224 1
159 175 1
283 104 1
50 51 1
159 40 1
242 63 1
128 204 1
120 299 1
131 237 1
20 246 1
8 129 1
229 20 1
61 77 1
21 127 1
44 270 1
0 91 1
163 89 1
0 46 1
5 261 1
191 282 1
251 102 1
136 107 1
202 188 1
263 114 1
22 218 1
12 283 1
109 260 1
294 85 1
291 142 1
256 152 1
110 201 1
222 28 1
191 57 1
143 39 1
260 291 1
25 26 1
101 27 1
229 200 1
24 190 1
54 250 1
35 276 1
199 50 1
20 6 1
187 218 1
296 147 1
212 228 1
99 235 1
99 40 1
8 69 1
3 19 1
243 124 1
96 22 1
77 78 1
236 132 1
6 157 1
161 207 1
260 261 1
271 2 1
65 141 1
42 103 1
190 56 1
113 129 1
283 209 1
224 60 1
100 206 1
183 64 1
95 276 1
13 254 1
34 80 1
21 187 1
155 216 1
259 95 1
134 30 1
204 25 1
57 238 1
13 149 1
92 213 1
83 264 1
170 186 1
43 224 1
243 274 1
296 102 1
152 3 1
295 146 1
144 265 1
49 230 1
4 140 1
94 95 1
276 217 1
38 264 1
129 100 1
250 131 1
179 225 1
174 250 1
291 202 1
77 93 1
259 125 1
255 299 1
212 93 1
0 211 1
0 106 1
154 50 1
287 18 1
86 57 1
24 235 1
150 299 1
3 199 1
78 259 1
169 80 1
59 90 1
61 212 1
204 70 1
190 146 1
40 116 1
57 283 1
0 16 1
107 243 1
118 44 1
258 79 1
142 8 1
1 242 1
67 278 1
118 149 1
192 148 1
212 138 1
283 89 1
221 252 1
235 296 1
264 175 1
142 143 1
159 55 1
11 297 1
184 290 1
165 299 1
220 146 1
210 299 1
295 281 1
0 256 1
243 199 1
61 17 1
225 299 1
222 178 1
220 296 1
114 130 1
58 59 1
77 243 1
249 190 1
21 157 1
132 253 1
288 4 1
267 268 1
102 103 1
14 45 1
190 161 1
141 7 1
94 140 1
1 137 1
213 139 1
107 228 1
111 7 1
175 206 1
79 50 1
297 163 1
50 126 1
135 299 1
138 94 1
174 85 1
80 276 1
164 165 1
227 33 1
196 242 1
88 209 1
13 284 1
2 93 1
53 234 1
87 283 1
237 103 1
58 224 1
144 10 1
272 198 1
38 99 1
59 75 1
190 191 1
180 299 1
145 26 1
163 134 1
208 224 1
98 54 1
6 112 1
259 200 1
203 54 1
275 156 1
107 213 1
200 276 1
220 266 1
13 44 1
26 147 1
221 207 1
264 280 1
62 228 1
205 41 1
204 295 1
9 160 1
246 97 1
226 242 1
223 59 1
283 14 1
86 27 1
232 173 1
258 259 1
125 261 1
111 262 1
126 22 1
106 182 1
241 272 1
111 172 1
253 14 1
42 118 1
282 148 1
248 69 1
284 195 1
99 55 1
31 242 1
59 135 1
136 167 1
216 52 1
0 241 1
162 58 1
155 156 1
230 261 1
213 34 1
246 187 1
241 62 1
126 37 1
44 210 1
230 231 1
160 26 1
259 35 1
11 252 1
168 64 1
5 171 1
259 275 1
0 76 1
106 227 1
108 49 1
289 110 1
67 38 1
99 115 1
