150 700
0 72 1
72 139 1
139 120 1
120 135 1
135 52 1
52 55 1
55 119 1
119 130 1
130 18 1
18 110 1
110 74 1
74 8 1
8 45 1
45 58 1
58 105 1
105 78 1
78 49 1
49 125 1
125 107 1
107 80 1
80 64 1
64 65 1
65 29 1
29 137 1
137 1 1
1 62 1
62 104 1
104 67 1
67 33 1
33 111 1
111 147 1
147 50 1
50 75 1
75 24 1
24 94 1
94 76 1
76 89 1
89 98 1
98 39 1
39 26 1
26 14 1
14 34 1
34 63 1
63 22 1
22 56 1
56 131 1
131 148 1
148 123 1
123 53 1
53 149 1
13 124 1
19 13 1
129 91 1
46 107 1
118 127 1
81 52 1
61 23 1
36 145 1
125 2 1
77 15 1
148 137 1
146 121 1
124 115 1
133 42 1
96 23 1
61 131 1
18 143 1
86 111 1
81 69 1
66 107 1
22 122 1
64 48 1
56 58 1
106 125 1
115 60 1
4 24 1
31 143 1
62 52 1
132 5 1
86 1 1
119 23 1
133 33 1
103 20 1
103 77 1
93 95 1
96 3 1
119 54 1
126 5 1
10 76 1
71 1 1
89 61 1
78 8 1
104 78 1
131 114 1
100 93 1
54 101 1
72 124 1
111 28 1
85 141 1
46 98 1
85 30 1
108 84 1
102 122 1
136 113 1
39 121 1
14 126 1
96 116 1
129 27 1
43 142 1
46 85 1
144 73 1
121 119 1
35 134 1
6 127 1
15 70 1
27 4 1
68 117 1
24 21 1
114 86 1
82 135 1
110 23 1
41 125 1
98 79 1
20 87 1
20 137 1
1 51 1
131 50 1
57 130 1
81 138 1
26 1 1
118 0 1
12 130 1
25 90 1
86 98 1
104 48 1
46 135 1
4 139 1
119 15 1
41 44 1
46 6 1
20 120 1
68 39 1
72 127 1
46 7 1
124 20 1
39 76 1
146 0 1
100 6 1
3 131 1
97 98 1
115 48 1
110 133 1
59 13 1
134 40 1
134 108 1
20 33 1
39 12 1
103 33 1
66 14 1
92 53 1
145 108 1
28 131 1
137 16 1
46 99 1
12 107 1
90 21 1
61 126 1
27 35 1
51 81 1
115 134 1
137 143 1
19 118 1
135 83 1
103 34 1
39 27 1
128 35 1
37 63 1
130 55 1
87 44 1
148 46 1
111 42 1
98 105 1
35 132 1
8 55 1
148 43 1
71 137 1
53 14 1
55 9 1
123 77 1
20 117 1
130 6 1
136 62 1
23 61 1
33 20 1
38 71 1
131 58 1
100 82 1
30 25 1
4 103 1
31 37 1
79 21 1
95 141 1
37 29 1
14 138 1
81 133 1
20 60 1
99 87 1
146 104 1
141 56 1
143 88 1
54 128 1
78 142 1
66 7 1
34 139 1
127 37 1
18 36 1
121 4 1
25 26 1
60 45 1
78 108 1
44 54 1
45 57 1
114 124 1
82 81 1
24 45 1
5 109 1
32 69 1
91 9 1
149 122 1
35 47 1
103 51 1
19 47 1
35 108 1
71 43 1
109 69 1
2 93 1
84 130 1
88 100 1
60 37 1
91 50 1
108 64 1
132 51 1
67 55 1
19 36 1
146 123 1
20 44 1
15 37 1
35 74 1
16 75 1
54 113 1
84 101 1
6 101 1
147 144 1
76 145 1
76 20 1
27 81 1
85 140 1
35 18 1
70 30 1
0 124 1
114 4 1
143 36 1
94 65 1
116 30 1
16 68 1
63 86 1
21 120 1
81 89 1
120 72 1
57 147 1
144 148 1
120 9 1
61 92 1
41 119 1
47 43 1
15 135 1
97 119 1
46 37 1
117 140 1
25 9 1
88 83 1
110 70 1
30 110 1
66 20 1
82 31 1
50 104 1
128 81 1
55 5 1
85 145 1
132 90 1
84 60 1
74 90 1
90 37 1
44 100 1
48 126 1
90 14 1
24 111 1
60 23 1
57 33 1
132 147 1
114 19 1
55 48 1
13 60 1
103 141 1
143 127 1
126 139 1
100 31 1
76 117 1
7 20 1
12 101 1
71 27 1
47 116 1
38 92 1
21 26 1
75 66 1
135 61 1
23 106 1
75 141 1
88 7 1
47 78 1
39 41 1
56 82 1
109 35 1
39 42 1
15 104 1
30 89 1
2 69 1
134 25 1
134 41 1
93 98 1
15 87 1
7 24 1
9 58 1
93 99 1
87 9 1
87 26 1
45 93 1
125 85 1
118 143 1
106 126 1
95 12 1
62 100 1
19 102 1
18 46 1
44 35 1
30 14 1
129 46 1
82 66 1
140 69 1
67 46 1
59 81 1
92 61 1
145 127 1
144 31 1
143 95 1
138 78 1
149 140 1
43 6 1
136 14 1
11 142 1
54 40 1
122 29 1
10 79 1
86 103 1
82 65 1
90 44 1
6 91 1
26 138 1
117 61 1
81 76 1
30 28 1
70 68 1
97 149 1
87 76 1
2 143 1
35 57 1
102 56 1
80 66 1
97 117 1
26 2 1
135 3 1
118 24 1
126 37 1
106 50 1
5 102 1
36 81 1
90 130 1
38 13 1
128 125 1
142 32 1
94 16 1
83 64 1
37 31 1
102 50 1
117 36 1
139 115 1
128 114 1
28 13 1
26 29 1
30 47 1
12 87 1
30 18 1
18 130 1
40 111 1
3 10 1
33 87 1
23 145 1
121 28 1
138 29 1
132 118 1
136 45 1
147 109 1
121 22 1
46 73 1
28 142 1
62 105 1
9 39 1
94 29 1
89 9 1
148 18 1
51 35 1
127 110 1
77 130 1
27 39 1
6 105 1
112 55 1
35 37 1
58 9 1
100 48 1
143 32 1
144 25 1
95 23 1
141 40 1
124 13 1
28 136 1
84 17 1
12 77 1
101 87 1
13 136 1
2 149 1
114 32 1
23 91 1
93 15 1
142 2 1
31 135 1
33 145 1
5 96 1
135 141 1
140 94 1
99 45 1
28 55 1
57 41 1
39 103 1
114 55 1
64 129 1
121 38 1
47 140 1
22 87 1
124 77 1
40 138 1
64 127 1
83 104 1
11 123 1
104 117 1
16 90 1
92 110 1
16 32 1
147 13 1
28 148 1
128 102 1
149 116 1
125 45 1
92 77 1
145 42 1
92 68 1
11 121 1
73 46 1
96 87 1
71 141 1
8 90 1
128 103 1
103 43 1
38 91 1
116 57 1
99 72 1
76 92 1
9 127 1
81 109 1
69 147 1
38 132 1
93 86 1
93 71 1
131 48 1
66 36 1
48 71 1
63 45 1
144 15 1
86 102 1
72 83 1
7 39 1
112 54 1
139 72 1
142 4 1
136 69 1
56 130 1
88 144 1
32 15 1
121 131 1
46 62 1
5 92 1
75 64 1
96 57 1
73 144 1
52 43 1
70 85 1
89 40 1
107 146 1
5 48 1
96 29 1
97 88 1
53 1 1
