400 300
0 1 1
1 260 1
260 86 1
86 121 1
121 238 1
238 164 1
164 124 1
124 379 1
379 390 1
390 174 1
174 67 1
67 91 1
91 110 1
110 325 1
325 115 1
115 94 1
94 15 1
15 72 1
72 195 1
195 280 1
280 209 1
209 329 1
329 220 1
220 360 1
360 185 1
185 236 1
236 78 1
78 2 1
2 40 1
40 127 1
127 388 1
388 139 1
139 196 1
196 68 1
68 264 1
264 290 1
290 154 1
154 58 1
58 106 1
106 306 1
306 11 1
11 145 1
145 313 1
313 42 1
42 317 1
317 259 1
259 242 1
242 366 1
366 318 1
318 346 1
346 57 1
57 188 1
188 41 1
41 101 1
101 48 1
48 47 1
47 71 1
71 51 1
51 273 1
273 12 1
12 109 1
109 43 1
43 84 1
84 203 1
203 44 1
44 157 1
157 118 1
118 107 1
107 189 1
189 262 1
262 152 1
152 138 1
138 35 1
35 120 1
120 151 1
151 133 1
133 16 1
16 299 1
299 211 1
211 182 1
182 29 1
29 373 1
373 265 1
265 170 1
170 364 1
364 248 1
248 351 1
351 207 1
207 393 1
393 365 1
365 116 1
116 26 1
26 303 1
303 307 1
307 33 1
33 122 1
122 358 1
358 275 1
275 131 1
131 156 1
156 161 1
161 213 1
213 301 1
301 176 1
176 296 1
296 89 1
89 3 1
3 221 1
221 348 1
348 368 1
368 383 1
383 37 1
37 333 1
333 194 1
194 108 1
108 389 1
389 309 1
309 19 1
19 304 1
304 54 1
54 251 1
251 24 1
24 59 1
59 36 1
36 18 1
18 99 1
99 367 1
367 90 1
90 274 1
274 322 1
322 168 1
168 343 1
343 399 1
369 216 1
92 135 1
245 44 1
367 189 1
274 187 1
169 126 1
363 106 1
9 180 1
328 226 1
368 250 1
3 66 1
281 359 1
353 49 1
181 14 1
350 21 1
294 252 1
240 379 1
313 91 1
58 127 1
369 199 1
322 256 1
2 391 1
189 258 1
320 10 1
154 164 1
60 312 1
7 368 1
295 190 1
54 45 1
226 347 1
293 201 1
68 28 1
140 180 1
211 293 1
245 79 1
106 223 1
201 119 1
283 12 1
356 169 1
336 44 1
187 72 1
205 245 1
352 376 1
140 32 1
187 52 1
75 316 1
261 269 1
256 140 1
308 237 1
257 378 1
270 304 1
261 392 1
160 386 1
188 387 1
224 135 1
371 269 1
338 152 1
255 176 1
83 201 1
61 293 1
130 194 1
182 80 1
281 64 1
262 180 1
70 60 1
125 319 1
375 170 1
255 138 1
365 174 1
281 223 1
127 62 1
117 121 1
188 315 1
151 216 1
60 72 1
57 112 1
65 365 1
362 201 1
70 370 1
218 39 1
376 109 1
274 79 1
254 102 1
374 294 1
170 397 1
109 60 1
297 365 1
314 13 1
391 336 1
55 245 1
134 147 1
397 39 1
241 121 1
359 237 1
105 330 1
96 336 1
260 257 1
207 2 1
156 44 1
15 1 1
365 277 1
377 230 1
15 305 1
251 314 1
241 212 1
97 287 1
227 14 1
395 149 1
100 28 1
321 148 1
337 237 1
396 309 1
354 265 1
130 295 1
240 336 1
308 290 1
201 67 1
269 30 1
299 218 1
294 115 1
223 162 1
219 396 1
242 227 1
272 135 1
48 244 1
250 98 1
398 143 1
137 226 1
293 289 1
150 278 1
1 281 1
203 165 1
31 379 1
342 13 1
207 130 1
222 374 1
1 178 1
127 174 1
39 97 1
391 377 1
193 204 1
302 6 1
255 250 1
145 76 1
245 90 1
193 203 1
212 68 1
249 162 1
64 299 1
283 60 1
310 103 1
263 375 1
249 245 1
186 203 1
203 33 1
22 109 1
114 255 1
397 375 1
345 266 1
62 260 1
137 308 1
281 279 1
114 331 1
383 224 1
75 259 1
210 15 1
226 375 1
