500 11700
0 3 54
3 52 68
52 65 24
65 68 48
68 78 5
78 93 49
93 99 76
99 104 2
104 126 50
126 127 5
127 131 51
131 141 3
141 142 64
142 143 58
143 150 72
150 156 75
156 176 67
176 193 27
193 202 48
202 210 42
210 215 48
215 216 55
216 218 76
218 227 27
227 231 77
231 240 73
240 243 91
243 248 44
248 252 74
252 286 80
286 297 45
297 304 16
304 352 44
352 353 19
353 362 93
362 368 1
368 371 18
371 381 18
381 382 62
382 389 54
389 394 68
394 401 5
401 413 21
413 425 86
425 427 20
427 430 12
430 450 13
450 454 33
454 459 55
459 460 19
460 485 2
485 487 10
487 499 88
336 444 14
363 452 90
36 278 34
374 431 54
110 282 59
15 448 93
51 455 40
71 278 42
277 393 22
155 243 57
203 230 14
383 460 23
183 319 65
162 240 34
191 475 53
70 84 18
154 442 40
461 478 28
36 71 75
410 446 99
80 410 80
4 168 63
12 25 15
16 488 33
17 295 69
203 312 42
45 491 32
346 409 43
193 308 2
457 482 63
70 148 25
266 491 74
117 322 72
125 494 23
260 495 8
364 411 2
289 425 67
5 470 39
376 413 33
45 201 15
87 156 3
307 350 30
57 82 89
77 275 9
207 489 18
72 372 63
33 95 62
93 213 74
72 75 57
351 470 51
12 469 43
333 493 30
119 272 77
29 169 91
314 333 50
289 447 43
75 491 80
303 482 96
287 478 71
75 362 12
140 163 10
13 370 47
8 128 25
118 259 87
345 353 52
225 425 69
252 269 20
150 341 39
364 398 34
52 424 37
365 386 90
104 447 9
210 439 47
1 312 35
199 374 54
35 134 78
247 391 97
157 493 67
38 234 62
86 131 78
204 348 66
78 258 86
275 424 51
140 253 73
81 262 26
159 281 4
222 420 14
273 490 73
21 323 47
272 367 51
13 184 27
35 379 8
187 253 27
79 463 98
152 326 24
112 166 80
21 255 80
270 296 1
140 177 29
173 279 31
8 394 38
140 203 5
16 432 37
47 332 57
342 379 8
8 47 62
197 390 100
131 359 66
9 34 43
275 498 9
15 126 6
156 342 72
19 453 75
89 263 30
196 328 68
40 83 40
0 233 70
78 121 18
69 86 94
89 458 52
155 396 68
389 455 94
5 119 82
192 416 42
270 375 36
96 196 21
19 292 70
95 163 8
155 462 82
406 472 98
71 156 58
152 368 99
46 400 85
45 267 73
218 273 79
210 358 58
213 443 21
184 480 87
81 155 7
88 446 11
186 296 37
183 267 16
10 96 60
45 125 11
324 463 99
223 373 53
41 230 82
10 18 67
204 484 72
236 486 62
59 199 93
310 374 92
102 273 9
4 204 33
125 159 49
293 317 7
153 413 42
15 233 17
203 219 41
106 426 66
155 281 72
295 351 7
189 373 70
315 449 65
244 431 52
287 459 61
357 492 94
169 346 60
1 221 12
103 458 17
375 386 66
58 356 16
275 277 25
144 421 62
136 269 49
221 361 24
4 365 40
292 354 5
105 475 4
95 255 72
176 206 42
224 426 78
177 336 27
107 296 4
143 231 32
128 314 7
306 315 64
227 265 29
359 473 73
30 67 16
403 468 66
273 429 26
197 218 72
271 474 45
434 496 13
65 322 8
25 170 80
337 396 92
402 425 24
43 249 27
30 334 11
183 234 71
112 465 16
277 499 17
86 410 98
138 251 67
307 332 27
63 361 68
29 438 41
139 186 16
327 460 36
408 489 63
86 493 59
400 435 18
266 311 69
97 231 62
254 360 45
195 397 18
333 385 60
77 499 31
22 292 27
7 317 70
100 455 43
60 340 14
64 374 62
177 366 98
28 204 84
153 484 77
65 66 23
120 272 33
153 418 82
311 402 34
406 441 6
145 290 40
185 462 32
70 140 60
294 465 54
275 409 77
193 433 30
22 224 54
45 324 88
177 345 76
278 374 31
150 219 5
246 272 18
145 388 25
87 94 35
158 460 39
31 374 27
319 412 18
430 490 82
163 176 53
260 352 15
362 481 54
2 90 9
297 418 1
140 414 76
12 301 70
173 297 89
57 371 75
181 289 93
450 456 4
268 381 77
277 478 83
170 497 22
134 203 49
155 257 25
311 499 39
311 443 17
1 431 14
126 209 82
314 386 45
328 453 60
120 220 48
63 291 88
355 439 53
113 439 53
127 179 95
67 318 44
113 118 9
233 416 24
318 341 11
310 440 88
69 463 5
2 292 6
284 345 98
189 328 61
135 236 52
286 304 42
43 481 38
230 397 90
269 308 88
1 485 49
286 497 87
247 295 40
46 461 88
67 274 92
277 349 100
145 256 96
272 285 32
127 377 51
244 445 32
173 309 74
201 207 57
50 58 59
308 397 28
204 215 11
2 192 53
95 478 98
32 371 4
9 132 57
142 442 54
33 142 71
195 248 62
378 429 70
112 454 19
159 191 40
33 224 3
228 272 18
137 218 24
179 490 34
45 71 54
157 336 31
181 423 86
70 396 97
106 151 35
98 100 43
142 417 12
232 483 12
11 449 74
337 338 44
59 178 29
103 138 80
197 361 36
69 388 4
34 437 5
32 420 32
109 330 16
344 480 77
80 94 96
161 396 96
448 463 43
305 324 88
87 339 16
30 86 1
20 209 47
49 109 56
133 226 97
128 340 1
207 452 58
12 86 82
106 262 80
301 464 35
358 456 89
100 316 63
5 413 91
239 333 20
125 317 22
105 153 50
170 443 26
171 174 68
112 220 77
135 470 64
360 498 18
119 148 100
129 136 14
39 262 14
55 231 49
104 204 95
238 414 30
451 452 46
92 241 84
12 42 67
305 395 10
241 266 58
362 495 74
405 499 99
129 311 80
9 103 95
79 230 69
5 272 63
138 242 93
21 183 38
194 246 55
179 381 77
264 400 57
77 420 82
82 476 83
74 116 99
200 334 53
114 387 12
145 279 4
224 339 81
274 298 60
86 381 87
251 358 80
31 228 61
274 410 88
179 204 17
34 197 27
227 414 13
208 248 14
131 381 12
75 483 75
125 435 49
302 354 71
10 341 22
146 355 24
88 396 23
136 160 64
44 92 66
219 493 31
240 459 32
140 340 60
146 216 15
4 148 52
337 391 73
170 477 62
29 106 74
34 384 81
421 451 89
296 435 13
43 296 67
194 456 81
273 400 5
35 69 42
72 263 39
80 337 82
29 373 45
19 237 23
18 277 96
147 343 21
71 91 50
284 409 73
173 344 76
372 448 68
94 440 29
159 229 19
72 219 33
214 353 31
66 302 46
84 140 49
442 450 78
58 140 7
84 287 64
175 251 85
171 388 56
268 447 39
160 325 46
50 297 89
92 354 79
213 470 49
51 177 84
47 267 17
23 406 79
381 461 17
180 266 95
468 494 97
41 172 82
71 441 12
337 343 56
208 444 37
53 443 31
276 485 41
89 135 19
425 430 36
131 450 6
172 334 49
141 192 39
124 193 98
59 322 38
302 436 90
173 368 66
2 119 18
183 224 18
353 421 55
23 70 40
50 101 12
115 303 85
63 217 29
131 346 18
44 389 14
189 404 13
57 98 75
11 96 61
345 403 34
85 428 6
443 466 12
7 149 42
183 372 75
373 493 84
45 181 97
255 280 51
204 277 33
111 482 57
197 374 23
19 383 34
136 225 100
55 429 6
203 249 22
365 376 91
31 148 48
181 299 16
83 247 42
68 440 29
149 376 71
34 138 98
354 475 81
215 497 38
374 435 14
225 271 96
364 399 71
84 353 27
102 337 30
49 320 9
366 468 41
125 251 22
82 433 22
34 473 8
142 233 74
225 386 28
319 366 6
70 447 4
430 480 5
0 392 74
274 275 64
293 328 80
120 454 47
183 354 34
93 243 14
241 492 93
299 471 72
223 482 71
366 415 14
202 376 72
139 423 31
1 30 30
326 470 38
233 250 77
2 94 27
185 415 6
55 267 54
80 453 39
367 450 71
200 303 26
199 217 66
146 432 76
79 497 86
25 244 30
86 469 84
234 277 4
99 255 85
33 230 71
43 368 8
118 312 22
295 466 92
85 117 84
392 452 61
235 372 16
116 191 41
279 371 35
101 151 62
22 470 79
264 494 87
154 476 77
28 402 4
87 439 100
337 448 48
165 358 63
126 327 49
73 484 83
116 454 19
44 166 64
70 395 16
52 294 85
230 383 3
385 425 41
110 216 98
193 238 99
313 316 94
1 112 91
424 452 25
286 369 56
77 479 54
19 449 83
103 341 23
329 385 80
126 219 23
33 134 30
187 294 59
164 218 51
357 411 16
55 320 55
20 234 46
4 218 76
95 268 14
194 209 77
124 343 80
26 408 50
121 286 51
180 185 49
113 387 74
254 401 69
258 447 49
400 426 48
52 311 80
40 258 51
393 457 83
372 385 35
318 471 70
279 415 20
21 51 37
134 354 47
210 265 89
453 491 60
335 351 14
36 96 26
358 446 7
430 466 59
16 396 30
183 295 91
231 312 12
101 335 86
109 260 19
38 40 11
226 268 50
357 389 71
30 97 38
24 71 18
241 419 94
242 404 16
71 266 63
139 381 80
15 26 57
78 172 47
198 292 52
320 406 93
370 447 51
399 469 88
133 314 47
360 403 2
112 307 9
2 481 42
22 97 34
41 248 41
7 88 36
256 419 45
62 458 3
102 110 35
117 159 25
269 272 46
459 470 94
121 425 53
104 354 35
22 104 55
240 300 81
259 290 48
314 409 38
34 113 17
351 396 50
20 159 24
189 207 55
47 394 15
22 129 4
241 499 45
35 97 54
187 199 82
118 262 55
122 160 60
