180 300
0 171 22
171 82 6
82 44 81
44 76 74
76 147 52
147 165 43
165 33 5
33 20 33
20 72 47
72 58 40
58 113 27
113 30 72
30 103 11
103 172 28
172 167 82
167 122 42
122 156 25
156 175 38
175 67 59
67 37 58
37 136 25
136 45 50
45 157 60
157 88 70
88 178 88
178 177 68
177 38 69
38 142 66
142 36 93
36 117 12
117 129 83
129 27 56
27 111 45
111 56 86
56 125 18
125 179 70
118 126 71
14 124 90
16 99 5
167 113 50
133 163 91
78 36 35
105 129 66
104 118 92
92 107 98
39 38 39
77 50 66
16 8 60
148 115 17
51 165 33
28 22 19
81 24 92
39 171 3
159 53 87
172 169 84
49 96 56
0 43 83
18 49 76
53 97 50
138 8 65
172 97 41
129 160 12
148 74 28
125 73 72
142 17 31
24 3 45
179 47 13
19 174 87
42 116 65
104 125 49
178 168 56
106 42 66
40 67 67
2 145 66
18 157 22
138 35 66
91 52 17
167 22 93
155 144 48
103 99 51
43 56 39
159 120 13
2 105 23
178 5 60
55 152 96
130 5 86
151 121 88
40 145 43
140 70 80
146 178 36
42 57 47
132 64 87
35 48 82
127 173 26
128 4 73
9 18 78
63 86 55
161 124 86
162 86 20
124 16 75
87 42 53
62 132 8
134 106 90
13 152 10
145 135 10
171 106 82
95 160 73
96 118 51
81 129 39
20 39 62
91 171 12
14 122 77
98 179 32
173 82 97
103 110 17
116 43 85
81 46 81
137 30 100
55 130 42
156 173 61
176 111 79
18 114 86
101 170 49
7 4 44
137 73 77
93 100 30
0 12 9
104 48 59
104 103 57
70 112 19
1 79 17
89 11 30
84 131 53
129 99 57
84 137 86
1 178 51
167 101 80
33 131 50
174 129 82
144 172 71
170 98 52
69 26 94
124 139 58
65 150 9
136 34 32
121 85 16
127 169 68
154 132 25
135 81 67
85 8 94
107 178 42
73 125 25
30 0 97
96 125 8
29 169 54
0 125 31
33 149 31
175 124 43
89 128 38
26 1 87
49 153 20
10 132 41
102 129 19
11 60 99
178 98 48
119 23 66
70 174 67
18 141 41
150 6 100
23 27 87
92 153 78
54 139 16
131 71 57
0 121 88
157 116 22
103 131 25
63 93 99
177 143 13
177 160 13
74 66 60
114 50 75
25 42 56
132 157 27
131 176 35
19 162 18
117 112 91
169 150 17
101 15 42
143 156 18
66 47 100
161 164 98
139 174 53
36 138 39
169 53 32
102 141 5
68 81 46
119 90 48
19 11 25
83 72 38
45 59 20
171 104 6
145 117 50
147 54 52
134 87 88
50 179 100
119 94 68
161 171 70
173 171 31
56 139 28
127 33 98
54 128 99
86 125 37
116 14 16
30 163 62
161 70 100
0 96 96
134 140 56
90 116 11
53 54 13
130 8 16
168 120 84
59 22 11
58 98 30
62 116 55
109 30 26
169 120 68
153 160 50
28 161 100
21 175 46
115 27 34
61 148 57
16 37 19
162 71 84
128 65 41
168 109 10
130 120 60
129 8 9
143 59 99
69 100 39
44 177 10
34 66 36
28 63 50
100 144 64
90 123 25
167 91 78
17 174 32
129 146 52
11 26 86
41 136 97
100 66 81
32 74 21
154 64 91
156 122 63
171 64 92
108 119 13
28 131 27
129 126 78
69 61 79
23 142 100
110 151 32
130 172 39
92 136 84
109 58 99
35 14 29
32 8 67
91 37 70
144 177 16
173 110 63
57 137 62
63 45 13
6 174 98
79 83 81
61 132 95
73 20 9
85 32 82
69 149 29
24 26 38
173 24 94
16 169 41
129 60 11
4 13 16
156 53 60
36 31 28
72 36 14
133 4 12
102 5 8
158 130 1
17 99 94
153 29 4
3 171 21
126 1 35
175 95 38
176 164 27
71 161 25
148 33 73
21 134 46
7 2 71
117 53 59
36 81 70
54 29 12
