150 1200
0 64 1
0 137 1
0 22 1
0 106 1
0 112 1
0 43 1
0 37 1
0 53 1
0 28 1
0 131 1
0 130 1
0 92 1
69 149 1
148 149 1
38 149 1
101 149 1
123 149 1
95 149 1
133 149 1
20 149 1
4 149 1
136 149 1
142 149 1
74 149 1
37 36 65
44 6 25
110 27 90
4 7 9
138 13 78
145 148 7
72 50 30
16 58 88
73 145 39
60 135 99
52 87 18
82 22 87
123 121 49
10 95 23
19 56 94
113 70 4
27 11 50
133 29 43
53 63 7
25 124 57
90 9 39
27 128 1
47 22 80
134 138 73
4 115 31
5 8 31
54 65 82
102 81 80
138 54 35
67 126 28
3 32 58
13 124 81
48 110 96
43 4 31
122 145 18
36 62 76
141 57 12
60 132 90
106 82 75
78 142 87
113 97 100
34 139 52
125 120 2
87 98 77
122 17 87
139 68 14
82 11 47
96 20 11
118 104 46
25 38 39
117 131 84
73 116 62
102 45 67
68 21 63
58 32 58
143 23 57
149 127 48
108 102 88
24 41 68
18 84 96
136 19 64
80 106 27
139 63 82
78 116 39
48 127 18
2 57 67
52 106 55
81 132 68
100 20 18
129 55 79
67 68 93
39 15 68
103 5 78
34 141 95
136 122 78
56 145 76
39 48 38
48 143 33
145 118 87
25 49 40
32 13 31
148 138 24
78 65 49
137 52 38
64 139 78
133 140 68
64 48 59
82 74 47
59 79 7
82 129 81
105 141 87
3 84 98
125 73 31
21 4 94
115 86 46
28 74 59
68 12 78
29 139 75
20 48 65
30 14 92
82 139 67
13 9 5
115 147 96
101 111 26
17 26 8
105 88 4
17 66 99
78 14 5
76 65 8
122 18 68
0 132 32
140 105 79
142 126 21
92 126 11
90 53 68
14 4 2
123 24 51
60 55 33
135 134 45
135 40 16
42 144 3
128 133 41
89 63 27
95 42 48
86 60 15
57 76 17
50 127 83
69 25 87
108 33 88
57 118 66
77 62 20
136 146 11
142 9 27
105 57 91
148 40 34
129 83 100
52 135 96
1 49 94
89 125 35
98 97 15
109 58 98
69 48 21
30 95 4
72 73 64
105 110 25
69 9 78
82 20 37
132 58 4
80 57 97
60 82 78
139 31 55
116 6 56
129 110 23
112 134 4
45 56 23
79 149 18
125 11 43
144 142 53
82 90 78
67 32 21
146 5 53
91 32 95
8 122 84
9 107 98
49 82 92
76 37 60
82 137 23
123 85 33
53 18 18
40 100 30
64 103 76
30 126 97
87 94 64
111 100 37
10 100 55
138 49 61
16 95 94
113 108 1
30 90 83
38 44 99
30 124 95
28 101 87
108 78 26
10 32 53
127 131 23
25 73 25
41 88 8
35 28 85
57 17 74
10 102 27
124 92 17
121 6 80
74 79 10
67 30 81
135 97 16
2 97 47
89 109 10
33 128 59
119 93 10
133 55 25
34 19 35
55 58 59
90 11 68
60 5 46
5 46 95
104 66 31
94 90 27
96 7 81
21 109 71
62 84 23
145 90 92
91 104 17
140 28 19
55 143 93
72 87 87
112 144 91
88 111 50
55 63 90
109 141 19
134 78 63
99 113 52
21 13 55
41 32 40
37 91 28
139 118 29
35 55 95
139 30 4
113 109 88
14 33 85
139 69 63
39 41 70
19 80 49
87 26 26
90 58 29
8 17 42
35 34 71
