260 300
0 127 1
0 43 1
0 211 1
0 223 1
0 212 1
0 85 1
0 73 1
0 224 1
0 105 1
0 55 1
0 183 1
0 138 1
0 75 1
0 201 1
0 245 1
0 189 1
40 259 1
8 259 1
147 259 1
76 259 1
74 259 1
89 259 1
14 259 1
98 259 1
222 259 1
55 259 1
9 259 1
15 259 1
33 259 1
27 259 1
145 259 1
101 259 1
116 32 30
146 152 31
104 174 18
164 45 87
246 243 49
20 190 23
38 112 94
226 141 4
55 23 50
58 171 27
127 25 13
248 226 46
18 155 94
54 257 1
94 44 80
9 230 31
11 17 31
109 131 82
205 162 80
109 136 34
252 109 2
65 228 7
249 96 56
86 9 31
244 69 77
72 125 76
114 47 31
213 164 75
156 226 49
68 204 94
250 240 2
174 196 77
245 35 87
136 53 42
22 185 86
193 41 11
236 208 46
50 76 39
235 146 59
247 205 85
90 136 11
250 116 85
64 230 97
47 226 92
254 191 55
205 49 21
37 168 96
39 253 41
212 104 100
126 156 97
232 154 25
255 68 2
115 105 54
218 162 67
201 41 18
259 111 79
135 137 93
78 31 68
207 10 78
69 244 78
113 78 25
150 97 72
129 237 87
51 99 40
65 27 31
92 156 33
193 105 38
129 128 78
96 232 80
164 149 47
118 159 7
165 258 81
210 6 43
251 146 31
42 9 94
231 172 46
57 149 59
136 24 78
58 41 25
257 61 79
28 165 70
26 19 5
231 203 56
101 34 94
52 28 89
210 177 4
35 132 99
156 28 5
152 131 8
180 19 62
36 1 67
126 210 79
252 80 47
252 40 46
106 28 3
5 246 13
203 121 28
129 178 68
81 63 22
11 257 80
161 179 99
127 104 86
191 85 48
172 121 15
114 153 17
100 255 83
139 51 87
216 66 88
219 218 80
114 236 66
155 125 20
42 19 27
210 115 91
80 133 65
166 105 68
3 99 94
178 250 35
196 195 15
219 116 98
138 96 21
61 191 4
145 146 64
211 221 25
138 19 78
165 41 37
116 13 41
114 120 42
62 218 59
13 222 65
220 90 88
225 13 23
113 88 40
71 251 6
170 215 54
208 164 46
134 65 21
11 210 46
65 16 62
18 215 98
98 165 92
153 75 60
164 91 62
170 131 27
37 71 87
80 201 30
128 207 76
61 253 97
175 188 64
223 201 37
21 201 55
98 241 9
191 226 55
2 60 46
77 89 99
60 249 95
57 203 87
217 156 26
20 65 53
254 91 13
146 97 98
83 177 8
70 56 85
115 35 74
20 204 27
249 184 17
242 13 80
149 158 10
134 60 81
195 63 2
195 184 45
219 36 17
256 233 95
238 187 10
111 96 18
38 137 28
117 233 46
23 120 3
182 10 79
93 208 82
132 121 76
188 181 27
192 14 81
43 218 71
124 168 23
180 183 80
209 65 71
57 73 28
144 175 87
224 177 99
222 199 28
127 219 71
73 157 63
199 226 52
42 26 55
82 64 40
75 182 28
236 112 18
111 60 4
227 219 88
29 67 85
138 248 20
82 38 41
193 174 14
101 180 30
115 16 9
167 70 79
69 61 96
72 170 20
208 55 52
142 90 65
99 185 58
211 215 67
137 9 90
250 73 34
143 95 50
91 205 26
107 32 81
57 134 53
20 242 8
89 28 100
124 113 79
42 104 41
235 167 83
56 112 14
89 25 3
254 256 91
166 3 40
206 171 61
127 95 42
30 238 42
36 85 16
220 78 48
21 33 11
217 66 78
188 58 25
138 135 87
132 130 58
154 168 35
174 148 86
201 143 7
244 77 90
239 109 36
234 40 96
240 251 48
245 243 31
124 133 97
24 248 3
111 43 67
243 140 13
191 101 6
28 160 33
4 105 65
8 32 84
210 105 52
127 139 33
52 225 44
223 155 54
26 196 63
84 123 90
183 164 78
22 112 22
12 46 36
231 43 91
76 78 51
66 5 37
231 209 2
169 78 64
148 12 32
