150 1200
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 149 1
100 149 1
18 69 1
66 27 1
62 133 1
13 134 1
108 89 1
45 96 1
62 73 1
129 120 1
85 16 1
0 111 1
22 83 1
122 133 1
0 61 1
111 122 1
0 11 1
8 99 1
99 10 1
134 35 1
143 14 1
103 44 1
49 40 1
128 39 1
25 56 1
20 149 1
67 8 1
25 16 1
39 120 1
140 149 1
4 15 1
0 91 1
18 139 1
125 136 1
143 34 1
0 141 1
137 78 1
5 46 1
81 2 1
102 123 1
91 82 1
98 109 1
0 31 1
43 104 1
126 127 1
95 86 1
43 44 1
37 8 1
72 3 1
80 149 1
116 27 1
0 101 1
97 148 1
132 93 1
32 93 1
38 19 1
143 114 1
118 69 1
145 146 1
49 90 1
110 149 1
126 27 1
148 69 1
77 8 1
135 106 1
96 117 1
17 108 1
138 139 1
14 55 1
0 121 1
70 149 1
71 112 1
56 17 1
42 73 1
108 49 1
147 78 1
106 107 1
82 143 1
14 75 1
103 24 1
127 88 1
121 72 1
79 60 1
66 107 1
19 30 1
51 112 1
108 19 1
147 58 1
36 137 1
50 149 1
34 105 1
27 8 1
83 124 1
63 64 1
85 86 1
106 117 1
131 22 1
38 99 1
104 45 1
2 143 1
68 9 1
29 110 1
118 89 1
97 38 1
99 30 1
43 144 1
83 44 1
109 80 1
24 105 1
99 90 1
142 43 1
64 95 1
38 49 1
98 89 1
88 49 1
39 80 1
59 130 1
54 35 1
4 125 1
85 106 1
109 70 1
148 139 1
137 148 1
121 2 1
57 58 1
41 72 1
144 5 1
19 130 1
98 139 1
31 82 1
91 2 1
147 98 1
66 37 1
141 142 1
1 112 1
56 7 1
41 122 1
44 5 1
95 146 1
8 89 1
83 144 1
146 97 1
90 149 1
132 133 1
75 16 1
35 86 1
79 20 1
136 147 1
33 124 1
84 85 1
85 26 1
21 132 1
9 130 1
55 126 1
33 144 1
60 149 1
55 136 1
13 34 1
24 125 1
73 104 1
14 105 1
102 143 1
66 97 1
113 74 1
48 39 1
122 83 1
128 9 1
63 34 1
29 50 1
58 129 1
39 90 1
75 46 1
66 17 1
36 127 1
34 25 1
111 102 1
5 126 1
134 45 1
117 68 1
0 131 1
121 42 1
38 139 1
53 94 1
7 128 1
86 117 1
26 107 1
127 108 1
8 29 1
23 44 1
29 130 1
7 148 1
65 66 1
89 70 1
49 30 1
0 51 1
112 113 1
40 149 1
114 25 1
57 88 1
72 53 1
34 125 1
142 103 1
62 33 1
71 122 1
105 56 1
67 68 1
144 115 1
108 39 1
17 58 1
51 102 1
112 23 1
101 72 1
61 102 1
96 47 1
103 4 1
28 19 1
52 3 1
12 103 1
123 14 1
9 70 1
73 114 1
25 76 1
14 45 1
101 122 1
128 69 1
1 122 1
56 57 1
16 27 1
148 79 1
107 128 1
15 86 1
12 43 1
33 74 1
5 86 1
3 54 1
106 47 1
93 134 1
55 36 1
136 7 1
98 39 1
25 96 1
115 56 1
69 130 1
82 13 1
32 83 1
54 105 1
97 118 1
69 70 1
128 29 1
89 110 1
141 2 1
42 23 1
130 149 1
83 114 1
37 28 1
113 84 1
1 102 1
147 118 1
106 7 1
102 83 1
74 25 1
82 133 1
51 62 1
15 146 1
53 134 1
33 4 1
51 132 1
92 23 1
18 119 1
52 23 1
16 137 1
46 117 1
82 33 1
75 126 1
126 67 1
48 89 1
42 133 1
24 65 1
13 104 1
19 50 1
6 77 1
109 10 1
133 84 1
93 114 1
19 120 1
53 144 1
79 100 1
105 126 1
121 32 1
21 142 1
107 88 1
59 110 1
56 77 1
57 138 1
81 92 1
30 149 1
86 27 1
5 106 1
121 12 1
26 97 1
58 119 1
49 50 1
74 45 1
45 56 1
104 65 1
4 115 1
27 118 1
37 48 1
97 78 1
75 116 1
33 104 1
124 5 1
127 8 1
78 129 1
14 115 1
35 6 1
8 59 1
104 95 1
0 81 1
9 20 1
109 50 1
144 15 1
57 108 1
136 47 1
6 67 1
147 28 1
113 134 1
95 126 1
95 6 1
38 29 1
8 19 1
114 75 1
111 112 1
148 109 1
22 63 1
82 3 1
74 115 1
6 57 1
72 103 1
4 35 1
143 54 1
7 68 1
65 86 1
129 100 1
116 87 1
72 123 1
73 94 1
1 22 1
99 20 1
95 36 1
101 32 1
146 67 1
56 117 1
0 71 1
43 84 1
76 107 1
28 69 1
124 65 1
53 14 1
17 28 1
148 9 1
56 37 1
142 13 1
59 10 1
1 72 1
126 87 1
146 7 1
115 76 1
91 22 1
114 125 1
144 125 1
36 107 1
41 12 1
47 48 1
106 37 1
124 85 1
73 74 1
43 94 1
36 147 1
139 70 1
24 25 1
52 143 1
106 17 1
122 13 1
0 41 1
82 63 1
34 15 1
62 23 1
59 60 1
87 28 1
87 48 1
144 75 1
9 80 1
129 10 1
112 143 1
107 78 1
45 6 1
117 118 1
11 142 1
105 36 1
139 40 1
51 82 1
121 132 1
107 148 1
115 16 1
129 50 1
121 92 1
137 48 1
112 53 1
112 43 1
91 92 1
62 123 1
96 147 1
63 74 1
78 79 1
108 79 1
0 21 1
1 32 1
132 113 1
141 102 1
37 148 1
42 143 1
79 50 1
138 99 1
41 92 1
46 57 1
77 48 1
93 84 1
21 12 1
21 32 1
54 135 1
101 12 1
102 113 1
