160 300
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 159 1
127 138 1
109 50 1
55 156 1
101 112 1
13 14 1
14 105 1
37 88 1
23 94 1
20 159 1
123 114 1
18 49 1
110 159 1
134 155 1
147 108 1
98 99 1
1 112 1
69 50 1
118 139 1
39 100 1
47 18 1
8 79 1
0 61 1
142 23 1
143 154 1
103 54 1
53 94 1
70 159 1
155 16 1
136 77 1
141 112 1
75 66 1
76 127 1
113 14 1
139 100 1
86 37 1
129 60 1
0 31 1
127 18 1
140 159 1
117 138 1
139 130 1
145 56 1
54 25 1
48 29 1
34 15 1
144 75 1
41 82 1
127 108 1
106 27 1
63 124 1
50 159 1
8 69 1
0 151 1
145 106 1
90 159 1
91 32 1
151 22 1
69 60 1
149 100 1
112 83 1
66 57 1
56 107 1
3 134 1
150 159 1
45 26 1
67 138 1
148 69 1
58 39 1
3 54 1
60 159 1
136 107 1
3 94 1
133 154 1
31 22 1
29 120 1
78 89 1
0 41 1
68 49 1
156 77 1
155 6 1
11 2 1
112 153 1
119 30 1
11 82 1
136 147 1
97 148 1
72 93 1
4 105 1
0 21 1
85 156 1
26 127 1
68 19 1
107 98 1
99 100 1
135 106 1
24 35 1
73 114 1
36 87 1
63 74 1
22 133 1
137 78 1
113 24 1
52 33 1
2 133 1
95 26 1
62 83 1
143 124 1
122 123 1
55 26 1
72 143 1
99 40 1
95 36 1
33 154 1
128 29 1
98 119 1
26 117 1
116 87 1
80 159 1
126 7 1
131 42 1
23 64 1
136 47 1
83 124 1
91 2 1
36 17 1
89 40 1
29 80 1
35 126 1
121 102 1
138 9 1
155 86 1
58 139 1
127 98 1
26 7 1
124 45 1
112 13 1
98 9 1
27 88 1
0 71 1
108 79 1
129 70 1
0 141 1
84 25 1
77 148 1
131 102 1
75 26 1
32 113 1
149 50 1
127 118 1
69 130 1
148 39 1
36 97 1
156 37 1
79 40 1
48 69 1
158 79 1
92 43 1
37 98 1
79 20 1
66 107 1
64 135 1
31 42 1
155 36 1
30 159 1
156 17 1
52 143 1
29 110 1
109 80 1
68 9 1
22 3 1
54 35 1
151 112 1
7 118 1
125 116 1
120 159 1
142 93 1
78 49 1
87 88 1
49 120 1
85 116 1
105 106 1
0 91 1
0 111 1
46 47 1
145 86 1
24 85 1
62 43 1
113 104 1
0 121 1
100 159 1
89 120 1
147 58 1
0 51 1
149 80 1
0 101 1
37 48 1
17 68 1
114 85 1
35 6 1
29 30 1
16 147 1
54 105 1
61 142 1
148 119 1
36 37 1
61 22 1
41 152 1
31 122 1
133 114 1
31 112 1
67 108 1
37 158 1
94 95 1
131 82 1
18 139 1
34 155 1
126 17 1
43 64 1
1 102 1
95 6 1
32 153 1
158 99 1
19 20 1
34 55 1
130 159 1
47 128 1
51 122 1
18 129 1
96 97 1
119 10 1
143 54 1
25 126 1
84 35 1
38 99 1
145 76 1
44 5 1
9 150 1
67 98 1
54 135 1
151 142 1
0 131 1
116 97 1
40 159 1
79 140 1
88 109 1
51 72 1
146 37 1
43 84 1
54 65 1
104 65 1
141 82 1
83 94 1
38 19 1
9 130 1
2 113 1
118 29 1
45 126 1
12 13 1
107 118 1
1 82 1
64 75 1
58 149 1
51 32 1
82 13 1
118 109 1
145 6 1
142 83 1
117 38 1
57 108 1
33 34 1
21 152 1
1 52 1
119 120 1
71 32 1
152 53 1
26 77 1
83 14 1
18 99 1
87 68 1
78 39 1
93 64 1
36 117 1
104 25 1
0 11 1
134 85 1
44 45 1
8 49 1
43 14 1
127 58 1
