150 1100
0 52 1
52 115 1
115 140 1
140 27 1
27 73 1
73 97 1
97 33 1
33 79 1
79 63 1
63 143 1
143 1 1
1 8 1
8 50 1
50 148 1
148 76 1
76 13 1
13 103 1
103 24 1
24 78 1
78 7 1
7 16 1
16 109 1
109 102 1
102 56 1
56 138 1
138 34 1
34 117 1
117 11 1
11 137 1
137 85 1
85 141 1
141 133 1
133 92 1
92 29 1
29 37 1
37 126 1
126 67 1
67 62 1
62 30 1
30 6 1
6 31 1
31 142 1
142 45 1
45 84 1
84 96 1
96 72 1
72 86 1
86 98 1
98 64 1
64 149 1
148 15 1
83 146 1
23 32 1
89 45 1
108 134 1
33 9 1
54 89 1
101 111 1
21 68 1
30 11 1
40 63 1
51 132 1
54 61 1
125 8 1
94 67 1
10 146 1
117 87 1
17 95 1
127 149 1
5 105 1
75 53 1
22 24 1
63 47 1
63 112 1
93 114 1
125 34 1
43 107 1
91 146 1
77 83 1
66 1 1
55 126 1
105 6 1
98 44 1
28 81 1
136 127 1
63 104 1
62 35 1
61 2 1
146 99 1
113 130 1
87 136 1
117 54 1
108 44 1
78 54 1
18 19 1
115 94 1
57 118 1
47 134 1
3 101 1
136 16 1
58 22 1
89 93 1
26 95 1
74 139 1
89 113 1
60 45 1
2 16 1
18 98 1
72 97 1
71 81 1
85 56 1
61 81 1
17 118 1
34 102 1
80 139 1
91 59 1
114 127 1
57 62 1
10 17 1
113 133 1
43 109 1
100 97 1
76 28 1
70 11 1
85 61 1
8 114 1
91 93 1
87 148 1
143 49 1
9 120 1
51 64 1
119 80 1
41 119 1
64 35 1
24 148 1
128 131 1
4 129 1
132 83 1
84 129 1
31 118 1
79 146 1
70 98 1
80 35 1
100 16 1
69 83 1
38 139 1
16 50 1
48 81 1
123 140 1
108 111 1
98 10 1
63 13 1
43 72 1
9 121 1
126 21 1
43 134 1
105 140 1
18 4 1
15 23 1
74 45 1
144 20 1
70 113 1
52 54 1
68 110 1
90 112 1
128 51 1
113 129 1
147 19 1
142 82 1
145 19 1
83 62 1
40 49 1
84 79 1
5 34 1
103 112 1
121 127 1
41 141 1
48 136 1
45 60 1
109 143 1
114 11 1
82 101 1
47 29 1
118 65 1
20 77 1
60 18 1
66 20 1
26 23 1
42 32 1
44 68 1
78 29 1
35 66 1
9 46 1
72 61 1
92 42 1
90 29 1
53 128 1
62 56 1
11 75 1
46 115 1
148 22 1
147 15 1
63 20 1
114 78 1
144 34 1
5 58 1
31 127 1
98 134 1
47 9 1
84 50 1
36 129 1
122 70 1
79 135 1
30 113 1
50 100 1
105 18 1
62 46 1
41 92 1
16 55 1
125 20 1
116 36 1
94 114 1
34 108 1
94 31 1
101 6 1
17 53 1
49 149 1
84 106 1
30 114 1
4 136 1
17 115 1
51 149 1
75 141 1
29 63 1
144 18 1
77 124 1
89 141 1
65 116 1
86 51 1
36 65 1
49 126 1
87 22 1
3 16 1
88 112 1
64 122 1
74 125 1
74 2 1
131 59 1
35 25 1
103 80 1
14 123 1
82 55 1
144 145 1
47 13 1
72 110 1
61 54 1
144 87 1
46 144 1
74 51 1
113 138 1
138 118 1
75 42 1
120 92 1
29 131 1
78 87 1
36 3 1
139 49 1
90 9 1
61 14 1
85 75 1
97 102 1
17 18 1
105 120 1
87 113 1
38 49 1
46 122 1
9 102 1
120 9 1
56 90 1
106 59 1
142 143 1
147 84 1
93 120 1
23 112 1
99 2 1
29 45 1
33 40 1
32 148 1
127 105 1
108 26 1
85 139 1
46 76 1
118 120 1
106 41 1
123 1 1
39 40 1
114 108 1
10 92 1
92 50 1
6 47 1
17 54 1
30 145 1
10 41 1
43 106 1
43 129 1
30 117 1
22 49 1
36 56 1
7 94 1
4 120 1
100 104 1
50 140 1
104 30 1
99 131 1
65 52 1
85 26 1
65 128 1
72 141 1
99 89 1
1 58 1
