440 300
0 261 1
261 266 1
266 104 1
104 139 1
139 405 1
405 170 1
170 19 1
19 99 1
99 203 1
203 153 1
153 173 1
173 310 1
310 326 1
326 111 1
111 378 1
378 382 1
382 282 1
282 97 1
97 21 1
21 344 1
344 346 1
346 258 1
258 41 1
41 233 1
233 126 1
126 361 1
361 74 1
74 73 1
73 197 1
197 136 1
136 377 1
377 408 1
408 208 1
208 359 1
359 123 1
123 411 1
411 182 1
182 191 1
191 237 1
237 311 1
311 5 1
5 181 1
181 67 1
67 154 1
154 79 1
79 141 1
141 235 1
235 400 1
400 385 1
385 248 1
248 9 1
9 362 1
362 367 1
367 412 1
412 283 1
283 317 1
317 272 1
272 186 1
186 88 1
88 357 1
357 279 1
279 304 1
304 418 1
418 214 1
214 131 1
131 10 1
10 105 1
105 76 1
76 69 1
69 14 1
14 132 1
132 56 1
56 82 1
82 195 1
195 20 1
20 207 1
207 401 1
401 164 1
164 390 1
390 437 1
437 280 1
280 204 1
204 332 1
332 241 1
241 231 1
231 363 1
363 167 1
167 383 1
383 90 1
90 247 1
247 48 1
48 71 1
71 345 1
345 187 1
187 278 1
278 178 1
178 15 1
15 140 1
140 384 1
384 403 1
403 331 1
331 232 1
232 402 1
402 138 1
138 295 1
295 269 1
269 329 1
329 316 1
316 238 1
238 189 1
189 157 1
157 284 1
284 89 1
89 368 1
368 417 1
417 149 1
149 434 1
434 212 1
212 175 1
175 396 1
396 219 1
219 303 1
303 109 1
109 352 1
352 398 1
398 315 1
315 50 1
50 354 1
354 342 1
342 114 1
114 415 1
415 37 1
37 381 1
381 86 1
86 146 1
146 35 1
35 299 1
299 407 1
407 276 1
276 29 1
29 268 1
268 250 1
250 120 1
120 353 1
353 349 1
349 439 1
394 412 1
221 426 1
276 231 1
105 213 1
372 40 1
217 10 1
436 212 1
27 404 1
235 233 1
184 363 1
331 240 1
110 164 1
39 339 1
170 200 1
339 62 1
211 64 1
290 354 1
406 219 1
267 265 1
349 31 1
352 165 1
321 432 1
337 158 1
432 374 1
124 147 1
33 299 1
250 136 1
434 49 1
65 319 1
346 306 1
21 348 1
221 273 1
377 262 1
61 130 1
192 134 1
265 231 1
31 411 1
354 303 1
166 169 1
49 65 1
309 396 1
420 307 1
200 158 1
417 295 1
294 383 1
142 112 1
276 374 1
30 376 1
349 191 1
68 254 1
321 308 1
348 275 1
97 432 1
390 375 1
320 212 1
93 196 1
45 208 1
107 72 1
127 254 1
305 406 1
331 123 1
2 114 1
7 237 1
297 309 1
367 32 1
139 222 1
3 384 1
437 116 1
81 367 1
168 417 1
72 201 1
406 317 1
396 119 1
389 391 1
271 95 1
190 151 1
210 396 1
102 350 1
265 269 1
164 121 1
385 240 1
244 99 1
125 146 1
251 315 1
142 95 1
83 343 1
0 199 1
244 15 1
340 419 1
409 431 1
236 132 1
257 366 1
78 425 1
61 211 1
277 338 1
190 421 1
123 142 1
34 103 1
232 351 1
255 28 1
183 434 1
378 173 1
104 234 1
184 129 1
169 343 1
259 299 1
292 100 1
274 373 1
242 80 1
422 28 1
363 280 1
304 184 1
294 126 1
351 359 1
201 337 1
15 244 1
432 58 1
355 416 1
358 392 1
318 299 1
108 328 1
13 167 1
251 373 1
204 320 1
56 166 1
253 345 1
183 423 1
215 167 1
140 401 1
63 4 1
196 13 1
239 21 1
205 164 1
364 98 1
46 173 1
113 120 1
82 143 1
221 405 1
26 169 1
256 231 1
88 360 1
78 129 1
76 307 1
49 47 1
8 272 1
7 298 1
107 418 1
118 188 1
135 59 1
125 377 1
406 24 1
26 23 1
335 225 1
324 431 1
