500 22100
0 25 84
25 52 84
52 54 17
54 60 32
60 63 82
63 81 18
81 93 13
93 116 46
116 118 2
118 123 83
123 130 97
130 161 48
161 176 40
176 180 26
180 181 51
181 214 78
214 222 13
222 235 93
235 244 6
244 251 75
251 253 50
253 259 24
259 262 52
262 267 60
267 280 77
280 286 70
286 298 82
298 300 1
300 316 50
316 317 21
317 318 35
318 325 7
325 340 21
340 383 25
383 385 16
385 391 89
391 396 34
396 456 4
456 459 58
459 461 79
461 469 11
469 494 77
494 499 66
271 365 68
93 344 55
167 174 69
229 486 80
48 275 69
42 109 51
8 273 55
250 300 67
87 95 5
101 215 26
29 193 44
3 150 40
9 28 18
190 199 6
148 445 48
79 411 93
115 293 33
192 393 40
46 417 48
258 321 74
60 298 30
253 341 8
123 414 65
27 429 10
166 314 84
18 379 36
340 443 28
57 167 36
250 398 36
295 487 7
128 357 88
127 131 53
358 397 85
263 264 11
60 201 79
348 410 22
395 492 3
127 158 23
306 398 96
192 358 65
59 88 58
26 174 31
19 121 27
1 194 9
35 377 100
5 474 90
98 434 91
98 464 80
231 272 34
62 319 66
136 386 31
46 258 74
325 473 65
5 40 54
268 299 2
221 399 90
56 198 81
95 408 57
42 324 38
302 490 13
143 331 49
282 363 63
24 321 74
82 204 15
188 389 4
8 57 58
259 340 91
19 189 63
379 481 84
81 84 54
313 476 84
229 417 2
186 295 94
109 408 20
124 164 31
388 495 20
235 387 95
367 385 34
33 89 74
186 497 48
188 468 63
89 479 83
392 463 63
179 192 57
178 275 42
24 73 22
261 377 75
120 432 69
382 499 10
193 350 6
36 277 69
227 285 36
320 442 98
145 330 40
87 377 51
42 342 82
136 303 5
302 370 69
3 232 84
18 339 64
234 434 99
14 477 27
212 246 81
73 97 11
225 362 18
33 475 73
137 210 50
64 204 80
85 301 3
274 433 46
29 395 82
295 382 8
185 441 55
90 431 40
251 319 85
171 458 97
132 151 59
122 373 73
7 415 46
175 380 87
66 149 94
27 482 8
78 492 33
171 454 17
138 398 19
335 380 83
234 487 28
176 432 98
371 380 7
95 215 50
276 305 59
198 440 43
5 467 87
36 176 81
125 171 5
360 425 58
327 478 49
122 285 75
20 326 54
150 292 6
43 448 71
37 331 35
118 233 58
243 460 47
197 222 56
73 160 52
293 348 94
48 203 63
108 264 98
19 485 33
105 400 84
148 223 46
60 440 22
88 176 6
69 364 64
169 482 15
64 390 35
204 263 45
124 150 36
161 214 52
313 395 56
6 82 41
33 487 53
116 397 39
120 319 31
18 356 68
353 357 88
122 377 74
121 208 13
423 440 95
57 88 37
181 404 42
90 356 49
59 214 12
128 458 28
35 279 76
313 416 46
47 278 38
42 126 65
150 395 47
278 342 3
135 409 56
212 444 24
67 415 12
151 394 37
275 497 35
11 375 31
18 272 83
155 374 93
91 340 42
144 254 83
316 432 36
79 137 85
90 412 25
67 282 57
364 410 79
107 300 61
54 402 88
20 271 49
2 334 100
127 197 25
191 379 7
103 444 93
163 169 88
2 43 83
137 399 7
97 306 87
77 254 94
327 454 44
63 279 21
54 176 87
356 415 88
219 241 91
392 398 42
135 354 33
299 423 2
412 417 1
162 340 85
463 482 82
344 423 48
67 253 37
31 153 27
77 369 91
389 405 85
260 418 65
12 193 2
97 268 78
169 300 36
103 256 24
160 172 26
325 361 40
159 431 44
312 439 35
55 369 68
33 393 22
112 451 94
183 270 81
4 391 85
135 486 10
223 495 81
431 454 4
134 146 46
361 386 13
83 120 46
369 463 32
3 484 97
35 190 4
179 488 86
0 21 17
100 329 4
391 445 41
131 141 25
279 357 3
169 421 4
60 197 42
183 442 63
43 251 45
257 410 52
113 334 19
80 281 12
314 352 55
141 461 36
79 237 23
337 383 27
37 273 67
124 285 48
194 352 88
383 432 86
1 311 63
73 332 49
219 441 88
217 225 20
51 408 77
173 197 8
124 197 100
143 364 19
67 209 55
120 423 46
424 439 21
299 365 72
356 462 75
188 319 82
38 472 91
46 463 73
280 392 4
319 426 55
137 418 14
31 94 81
249 283 60
235 259 22
431 433 81
99 347 62
201 378 36
10 354 95
104 412 76
179 229 83
274 347 32
66 157 78
9 416 50
0 156 40
97 222 54
260 466 24
342 365 86
197 248 21
221 471 67
156 201 82
261 387 27
79 347 94
136 404 36
62 242 79
152 404 80
297 409 52
355 450 98
10 491 20
5 436 26
385 480 46
2 168 13
142 221 57
102 165 35
180 201 50
323 469 48
391 486 66
444 494 39
36 396 13
113 454 87
24 35 72
118 365 29
350 469 88
341 382 99
15 94 26
154 307 77
382 398 70
204 289 32
393 489 39
186 354 2
34 111 83
99 447 84
141 394 4
19 270 99
65 334 73
78 269 79
385 394 3
102 199 94
137 277 87
75 256 19
142 223 53
33 255 71
40 327 18
5 323 19
155 382 77
25 73 93
261 336 96
110 208 22
57 464 18
157 213 7
240 393 96
74 253 66
64 252 79
149 210 15
349 475 100
82 486 27
182 390 32
257 268 28
202 294 87
223 235 78
56 103 53
213 240 88
23 153 67
275 360 39
10 278 76
256 318 43
64 220 57
342 394 33
138 469 1
38 309 64
158 190 70
2 399 21
428 463 57
349 374 98
429 450 2
51 174 1
295 406 19
268 336 23
406 443 83
160 348 77
93 106 67
419 431 49
24 492 62
220 277 63
330 421 29
219 450 92
237 440 34
219 282 15
263 287 9
267 464 21
463 485 93
295 324 31
38 129 7
310 450 49
313 405 90
419 483 69
289 378 47
223 412 78
13 272 24
396 405 64
90 487 79
116 178 90
42 419 60
415 427 33
129 209 55
285 308 13
36 94 88
193 472 69
134 464 60
286 397 30
85 365 30
201 338 37
89 448 69
126 191 22
282 396 49
201 296 62
54 166 1
100 444 64
79 96 23
182 274 28
400 419 30
76 130 32
154 311 47
257 409 98
29 226 69
51 175 66
42 255 89
27 73 81
65 468 4
131 176 31
46 431 93
7 270 32
219 278 73
74 175 52
64 113 95
238 426 20
157 333 74
14 52 12
157 430 90
100 412 78
64 492 5
21 166 27
279 441 95
302 365 61
279 492 10
35 402 37
450 482 42
190 270 42
259 440 10
102 104 45
66 336 29
166 197 21
177 347 81
180 236 15
154 170 38
145 247 84
227 485 98
304 389 8
205 424 92
281 471 5
241 478 92
130 462 64
81 465 19
194 294 91
77 134 100
176 334 84
397 464 51
130 139 39
23 257 54
65 157 34
292 329 60
31 211 4
166 431 67
264 378 49
19 378 37
299 353 4
59 189 90
318 341 19
134 221 68
110 290 12
412 496 75
0 53 10
233 309 2
130 232 67
234 474 20
253 306 52
118 255 55
242 348 25
103 478 81
193 387 93
60 66 87
51 427 96
227 303 78
273 353 41
38 192 76
292 341 63
98 337 83
6 87 65
275 363 91
123 284 42
256 291 66
94 256 41
134 403 77
85 338 38
87 451 72
116 147 95
232 361 65
64 101 80
493 498 77
108 161 49
85 341 32
133 330 90
165 370 38
262 366 44
151 295 10
187 201 29
122 498 90
8 345 58
282 484 68
85 273 64
144 158 18
18 471 72
253 285 2
2 474 65
282 496 40
38 370 81
294 326 46
462 497 17
64 362 75
100 310 20
396 469 3
3 56 94
98 242 41
34 396 79
174 206 22
474 483 89
323 337 97
186 203 22
61 482 47
402 406 95
87 237 18
111 345 44
169 221 44
192 347 74
98 279 50
132 418 21
230 273 58
225 275 96
293 407 25
78 321 57
395 445 37
134 448 59
362 482 69
400 456 39
1 435 71
215 253 16
94 167 20
231 484 33
38 45 13
251 458 33
5 460 51
162 313 2
55 120 1
177 442 95
213 261 88
57 144 89
268 280 19
10 349 24
295 444 31
255 346 27
77 255 68
210 405 77
58 468 7
143 168 27
82 138 63
315 455 30
213 340 28
389 483 89
183 344 26
93 216 12
71 477 65
31 76 61
98 210 21
61 300 39
226 339 6
73 247 29
177 446 95
443 490 54
7 350 87
71 86 70
263 294 33
80 467 55
138 370 5
28 36 83
74 412 61
81 289 99
179 243 99
373 443 5
447 481 60
78 436 99
87 148 13
73 480 37
0 173 10
120 125 33
276 439 80
68 376 73
33 263 6
132 188 28
84 378 86
44 300 16
227 420 12
171 405 44
37 137 20
154 156 25
159 364 70
77 258 42
180 188 83
97 254 94
14 127 59
127 267 90
22 203 86
151 184 59
269 332 85
127 144 2
321 461 2
436 446 7
122 316 70
247 490 1
180 372 90
399 478 86
157 475 37
265 437 39
82 86 17
236 315 99
197 252 21
45 133 51
4 441 58
314 438 7
1 332 3
384 452 40
116 338 43
316 327 49
116 249 22
50 355 61
176 278 25
38 97 61
352 481 57
28 190 70
117 236 29
188 220 77
10 68 57
417 458 90
411 496 97
138 306 22
249 363 54
156 427 97
96 128 9
206 330 32
94 331 5
367 467 54
242 374 18
420 492 100
237 384 29
68 444 71
325 343 96
75 413 84
24 372 23
61 267 93
44 159 16
281 308 85
314 474 22
100 256 20
400 455 96
2 263 98
81 187 36
108 189 29
155 337 58
286 383 18
186 355 11
269 374 55
333 468 77
32 297 9
245 261 41
214 355 2
50 353 76
208 387 16
168 189 61
124 293 17
208 435 94
139 287 71
206 260 97
159 378 9
227 415 7
430 465 56
166 264 9
329 389 89
46 475 81
450 463 83
124 219 90
326 402 11
137 309 51
243 261 36
33 349 60
156 342 21
91 464 100
208 266 79
160 449 72
102 379 75
144 405 76
69 192 18
23 322 23
69 274 95
80 330 16
49 74 60
198 227 86
88 354 54
106 451 97
8 475 12
314 450 49
2 458 37
100 485 94
99 264 63
263 384 4
218 290 56
240 272 25
198 444 17
147 220 12
150 387 7
193 367 11
368 404 49
75 327 39
85 395 84
155 323 99
154 212 27
84 291 51
17 494 78
150 361 86
53 392 95
291 445 12
433 462 29
140 333 6
104 271 87
199 458 66
319 408 18
458 481 26
168 418 8
55 316 65
249 399 40
122 274 18
123 483 45
82 302 76
126 241 5
21 336 11
180 458 75
357 480 76
460 479 99
2 76 89
233 417 29
128 301 92
196 443 80
43 409 25
61 387 16
394 448 51
333 454 98
100 336 100
446 478 64
481 484 10
75 171 11
84 203 67
105 186 41
91 312 2
142 301 69
69 466 89
185 302 87
277 405 9
153 347 100
33 86 98
185 214 27
110 417 25
51 428 24
36 429 44
230 473 30
24 176 26
179 339 48
29 343 11
88 219 40
137 428 43
52 268 100
162 325 80
229 338 53
25 172 30
69 287 50
320 384 91
16 309 14
3 176 34
126 347 25
30 121 73
40 191 18
298 451 32
199 367 6
10 299 4
1 456 12
28 124 13
265 376 77
90 440 95
139 439 52
69 386 69
124 225 44
229 256 92
0 82 57
199 457 5
137 346 92
143 493 97
103 390 50
48 233 86
302 427 94
62 462 8
42 493 9
68 470 53
213 456 37
118 208 92
85 390 5
160 419 28
90 276 92
45 396 68
68 322 91
328 410 5
261 354 72
44 376 63
42 286 88
194 451 67
46 323 25
158 438 64
246 383 27
217 273 59
297 423 21
77 105 81
145 306 57
17 18 93
308 389 94
41 348 50
207 460 11
158 491 23
1 292 45
194 437 44
38 213 53
245 430 79
244 384 41
283 304 62
58 77 1
72 105 35
328 337 18
34 168 26
180 399 25
41 152 30
118 374 95
286 436 83
306 380 28
108 313 5
129 366 2
149 430 71
46 189 24
239 486 19
114 157 18
402 476 64
148 259 62
223 465 97
132 370 11
17 112 81
15 371 21
19 290 87
291 458 14
20 493 3
458 486 33
112 265 48
155 211 38
304 467 89
245 266 81
6 7 83
183 202 13
201 445 89
164 186 4
87 174 34
20 384 12
9 340 71
19 398 32
35 408 93
29 298 82
269 486 75
57 418 94
269 474 32
135 312 93
148 440 24
32 308 91
214 416 52
55 323 7
213 345 49
367 433 80
269 344 13
204 421 37
285 466 59
292 462 81
309 487 57
295 351 28
20 445 53
321 415 22
237 329 40
92 346 78
50 275 55
17 197 66
167 180 34
54 156 28
414 486 29
93 296 90
84 151 35
458 475 17
287 421 26
258 278 93
2 304 21
118 378 72
195 369 65
253 294 84
29 228 74
109 246 63
47 314 82
56 228 85
64 187 3
85 261 3
266 367 37
258 293 10
123 443 74
33 313 9
169 218 39
24 444 61
120 131 79
185 462 23
355 413 68
211 262 67
3 321 58
38 243 10
226 281 28
82 358 19
371 396 14
336 499 64
124 167 56
93 365 40
19 400 16
256 336 8
120 460 79
238 461 63
31 364 29
143 414 70
67 373 20
47 249 7
303 494 99
145 423 99
