720 1000
0 1 15
1 12 19
12 19 25
19 21 12
21 24 73
24 30 30
30 49 14
49 58 15
58 62 3
62 65 100
65 66 89
66 74 56
74 83 47
83 87 16
87 88 17
88 92 98
92 103 41
103 105 58
105 108 43
108 109 66
109 117 51
117 136 8
136 150 89
150 156 99
156 171 90
171 172 84
172 177 99
177 193 56
193 195 61
195 208 66
208 220 89
220 223 30
223 240 67
240 241 53
241 244 8
244 246 18
246 258 48
258 269 97
269 274 79
274 285 93
285 288 12
288 298 95
298 299 34
299 301 82
301 311 5
311 316 3
316 334 50
334 336 8
336 365 7
365 371 60
371 377 66
377 405 58
405 412 2
412 415 19
415 441 30
441 443 80
443 459 83
459 463 17
463 469 66
469 491 5
491 496 91
496 503 30
503 509 7
509 514 69
514 525 14
525 536 33
536 542 69
542 570 61
570 571 31
571 588 55
588 636 50
636 641 53
641 659 14
659 670 30
670 685 78
685 702 21
702 719 51
679 685 34
21 250 98
21 494 51
473 559 83
190 592 98
125 495 15
242 491 31
53 697 27
57 365 41
11 390 60
383 641 49
169 427 2
6 159 51
227 579 99
45 367 14
222 563 58
205 560 18
488 568 21
169 557 32
55 125 39
85 174 15
85 393 17
375 577 16
123 487 14
671 679 73
342 656 21
309 511 56
270 541 65
54 431 83
205 661 88
52 117 86
10 532 42
14 706 32
211 300 76
341 412 79
400 417 37
93 484 42
3 490 11
353 570 85
426 461 34
29 678 93
209 241 44
164 548 37
288 397 33
245 465 97
106 532 12
560 620 75
157 561 52
144 490 77
49 488 18
100 138 95
112 382 73
13 430 1
146 640 21
485 519 86
90 425 81
115 534 37
172 313 77
525 696 26
2 370 26
195 647 100
6 490 94
49 454 44
3 232 36
2 466 15
290 497 2
457 716 100
294 653 31
206 633 26
9 605 58
406 575 27
152 602 72
101 563 97
285 494 60
281 481 35
96 436 40
116 570 60
201 214 34
388 401 86
512 567 10
213 520 26
203 702 41
29 712 51
111 611 46
569 609 59
378 680 21
139 256 81
35 433 16
603 634 14
261 699 7
102 113 54
32 508 3
266 296 2
518 612 3
258 618 57
177 575 91
411 602 92
75 93 78
518 576 98
317 357 83
143 511 15
685 715 80
433 475 43
99 138 83
272 436 25
2 202 16
126 413 64
139 564 86
11 151 26
350 575 58
609 700 10
9 422 100
535 556 17
426 505 55
49 162 69
216 594 39
77 274 86
38 123 2
21 508 30
489 517 79
37 163 2
115 155 61
304 454 24
52 593 5
293 335 4
124 402 9
147 576 47
2 474 1
6 251 41
292 707 98
73 712 97
101 621 36
112 146 67
32 313 15
534 584 65
92 672 18
602 679 98
170 372 53
268 384 33
176 561 53
