150 1400
0 87 1
0 41 1
0 38 1
0 104 1
0 54 1
0 8 1
0 89 1
0 66 1
0 111 1
0 137 1
0 51 1
0 40 1
113 149 1
107 149 1
2 149 1
103 149 1
117 149 1
27 149 1
123 149 1
58 149 1
100 149 1
124 149 1
93 149 1
43 149 1
53 99 72
32 123 82
138 73 29
27 45 1
69 18 66
12 57 65
44 93 100
51 56 97
15 47 84
128 60 68
130 139 86
85 138 66
137 103 83
24 91 85
135 39 47
13 46 4
49 63 19
58 12 90
30 8 34
68 139 67
86 2 85
131 102 10
25 148 50
73 80 51
86 32 96
72 125 21
77 48 76
44 128 38
113 57 82
103 13 58
40 43 46
92 34 43
38 121 24
43 147 92
110 122 58
78 83 46
106 146 27
83 2 2
47 25 14
143 77 93
85 21 11
131 37 75
64 68 55
126 63 68
142 78 47
66 127 24
13 135 34
3 64 17
127 13 5
38 40 26
9 66 57
23 141 81
140 65 1
6 3 97
127 55 54
81 43 97
5 96 14
46 3 72
95 97 76
91 128 27
13 77 29
137 148 70
123 62 34
62 109 50
13 113 24
139 64 71
62 56 8
119 101 3
146 38 32
140 73 80
44 130 28
73 8 93
140 81 21
60 108 52
118 15 47
102 24 33
78 16 21
139 87 8
11 91 95
55 11 17
124 106 38
8 99 78
77 28 68
140 46 90
18 36 54
24 40 89
93 48 22
13 1 32
102 115 45
76 23 60
127 73 26
127 72 26
20 64 2
33 27 2
10 141 13
135 70 77
52 48 95
15 17 22
46 138 46
123 66 25
2 82 46
86 109 22
139 136 6
146 6 22
37 78 77
103 20 26
81 96 86
27 64 31
67 106 100
109 115 97
118 30 82
89 121 36
147 85 26
107 25 81
103 33 68
45 48 76
143 106 3
134 35 12
41 51 94
11 98 24
80 117 18
142 50 58
66 8 73
74 106 8
103 30 64
110 5 37
23 49 58
64 46 69
42 93 50
111 19 59
25 128 75
93 54 12
80 1 73
82 77 40
75 143 79
37 29 61
36 1 92
78 37 27
54 51 75
115 65 10
137 75 33
52 130 41
132 68 58
95 113 99
77 92 68
50 105 12
45 49 91
39 140 33
142 120 67
145 75 71
23 113 28
6 59 60
2 123 31
34 83 14
138 22 90
12 94 84
46 27 39
14 121 63
75 90 15
3 106 14
45 141 94
37 91 21
117 28 87
47 9 18
112 84 77
79 78 54
37 84 49
78 81 84
20 63 98
99 31 73
4 69 7
23 56 68
110 61 9
29 141 21
139 143 32
72 6 98
138 12 4
133 60 20
148 108 32
78 97 51
79 17 98
117 78 63
78 143 97
109 106 98
41 91 57
129 85 62
130 77 70
88 62 39
73 72 44
26 145 84
7 103 10
95 5 96
37 97 77
120 83 98
80 81 57
78 123 56
93 0 95
65 119 66
85 149 90
0 84 69
31 133 54
10 38 6
126 116 71
76 102 58
91 83 95
118 72 30
27 25 12
45 130 39
135 99 26
9 81 50
71 135 13
3 99 70
140 98 26
50 116 82
1 21 81
85 100 44
54 78 4
35 55 38
11 6 38
30 115 39
149 21 85
58 121 27
59 5 98
84 94 55
39 41 14
124 139 96
111 102 78
80 126 23
31 136 92
42 29 34
121 65 82
115 26 40
49 76 48
45 42 23
148 147 89
118 81 41
19 121 9
8 104 87
135 134 53
43 110 70
108 1 76
21 2 96
51 70 13
126 103 22
100 125 28
105 30 84
117 77 38
7 147 11
145 105 33
20 48 59
31 36 42
100 102 61
95 142 29
28 129 89
147 83 40
10 110 41
64 107 54
