120 300
0 64 1
0 72 1
0 47 1
0 29 1
0 93 1
0 60 1
0 58 1
0 70 1
0 59 1
0 52 1
4 119 1
89 119 1
43 119 1
9 119 1
61 119 1
65 119 1
58 119 1
12 119 1
115 119 1
38 119 1
111 43 75
115 64 92
85 115 89
4 82 30
87 68 70
7 40 30
87 71 71
0 17 51
43 4 70
30 89 99
49 7 35
51 116 17
109 32 49
54 117 26
25 97 33
58 105 99
25 96 87
17 109 18
74 95 80
111 32 24
3 109 49
25 93 44
57 81 47
19 70 66
108 55 50
12 25 8
88 55 24
64 34 66
30 8 58
55 54 81
90 41 96
88 113 51
77 72 17
70 0 93
90 65 60
1 6 44
118 80 21
30 49 65
51 102 91
61 68 91
76 0 27
102 57 74
80 45 88
52 55 54
23 38 9
106 74 43
116 68 41
7 4 47
0 62 7
13 116 98
97 115 65
101 23 22
48 74 9
38 64 13
60 42 35
38 99 5
86 11 52
36 77 43
18 100 50
27 91 51
39 10 67
22 60 13
77 41 33
29 42 8
113 104 5
31 60 87
43 28 90
112 113 21
81 93 24
105 38 12
31 100 31
30 9 47
109 70 98
61 3 27
3 67 10
113 54 41
7 103 10
17 49 22
29 68 25
89 42 51
52 105 83
41 23 17
55 79 71
92 5 24
110 5 81
51 78 90
58 87 3
31 39 85
45 116 27
46 9 88
26 103 18
15 21 20
0 106 75
115 108 50
44 53 58
23 83 68
41 76 33
99 36 72
108 39 61
96 101 55
39 89 93
13 72 50
42 14 74
82 68 2
112 114 47
43 50 92
53 59 56
8 115 62
91 100 70
104 69 52
63 51 82
57 1 58
108 35 76
8 67 20
82 51 24
77 50 67
109 93 25
61 40 6
117 100 99
32 16 41
73 51 48
117 81 95
90 113 14
34 77 50
79 9 11
74 56 17
39 44 48
110 21 8
69 54 89
69 95 13
63 61 1
54 80 40
26 66 95
86 103 33
43 9 45
57 110 77
81 52 5
96 90 33
80 114 4
78 40 21
36 75 86
54 114 91
32 113 2
80 23 20
17 33 30
99 24 3
12 114 44
114 45 37
64 106 57
20 103 32
48 44 23
66 54 78
79 115 71
66 12 66
58 64 63
82 114 3
94 19 78
27 109 32
26 54 85
110 79 35
62 109 100
66 69 61
52 85 94
23 111 27
1 79 5
107 33 38
30 4 58
65 97 24
4 85 35
8 74 40
9 87 68
59 43 48
2 68 8
63 54 77
55 68 68
52 79 7
45 85 98
5 56 76
20 39 37
112 28 34
55 81 1
19 50 42
33 55 26
59 106 39
1 3 16
62 66 80
76 80 17
58 12 29
1 11 62
107 110 86
1 108 42
67 110 16
26 2 63
41 43 23
95 51 22
85 111 5
65 98 68
119 3 92
37 50 74
2 23 21
10 1 66
34 44 1
34 60 45
20 105 36
9 17 79
77 38 24
66 81 43
52 45 19
51 118 100
84 107 94
96 119 42
13 57 13
60 93 80
113 56 77
11 118 9
73 89 51
40 28 15
44 103 83
62 108 92
37 52 96
102 86 70
42 16 84
41 13 59
20 23 43
70 80 97
24 119 40
109 40 5
5 74 24
118 16 56
21 90 81
112 3 57
92 90 37
33 97 9
42 81 100
24 76 14
29 82 48
76 81 96
96 11 18
3 90 79
87 61 100
83 47 10
54 74 51
104 34 32
114 33 90
40 76 90
40 84 45
77 70 56
76 108 76
26 47 100
80 93 34
47 81 73
6 13 30
73 112 67
116 84 37
66 104 49
100 62 85
69 40 18
34 114 76
15 99 73
33 111 100
105 93 23
27 43 19
94 114 10
51 95 7
96 73 54
33 105 22
9 88 38
113 42 36
28 68 88
20 16 71
119 42 22
84 70 83
75 17 57
98 97 96
72 32 59
20 28 28
115 98 73
108 107 65
35 107 49
106 87 25
