150 400
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 149 1
98 69 1
23 24 1
74 25 1
100 149 1
86 7 1
33 124 1
89 110 1
122 93 1
42 73 1
130 149 1
141 132 1
98 109 1
97 48 1
11 62 1
101 12 1
56 127 1
29 100 1
16 77 1
81 122 1
28 129 1
0 11 1
0 41 1
0 31 1
112 123 1
131 92 1
11 132 1
3 34 1
0 71 1
105 66 1
127 28 1
144 35 1
86 137 1
0 21 1
119 60 1
6 87 1
56 117 1
0 51 1
138 69 1
61 22 1
109 20 1
140 149 1
1 32 1
69 70 1
134 115 1
114 105 1
104 125 1
117 38 1
40 149 1
142 3 1
116 147 1
14 105 1
48 69 1
9 110 1
135 56 1
73 14 1
145 86 1
31 22 1
129 20 1
52 63 1
44 125 1
2 93 1
16 107 1
34 15 1
8 19 1
112 33 1
135 136 1
106 97 1
64 35 1
69 80 1
0 101 1
59 40 1
90 149 1
57 98 1
82 93 1
63 14 1
127 68 1
32 73 1
27 118 1
0 91 1
24 115 1
69 40 1
0 131 1
92 73 1
57 78 1
101 132 1
56 47 1
121 82 1
144 45 1
31 102 1
38 89 1
27 38 1
98 49 1
96 37 1
14 65 1
51 42 1
128 109 1
92 133 1
134 65 1
9 100 1
111 2 1
5 36 1
77 8 1
52 123 1
132 63 1
19 140 1
28 139 1
0 121 1
102 43 1
73 94 1
19 70 1
146 87 1
99 140 1
134 105 1
44 135 1
108 69 1
93 104 1
11 22 1
134 25 1
78 89 1
105 86 1
65 126 1
82 73 1
51 12 1
101 22 1
56 87 1
112 13 1
43 44 1
0 141 1
89 60 1
3 54 1
43 134 1
51 32 1
77 148 1
65 26 1
30 149 1
115 56 1
137 48 1
128 39 1
50 149 1
78 39 1
84 45 1
27 98 1
144 75 1
46 117 1
77 28 1
137 108 1
22 113 1
110 149 1
85 26 1
102 113 1
55 56 1
84 105 1
43 124 1
42 3 1
89 90 1
77 58 1
49 30 1
80 149 1
147 48 1
101 102 1
128 89 1
124 125 1
146 147 1
61 2 1
108 59 1
85 56 1
67 78 1
70 149 1
46 87 1
39 80 1
26 37 1
27 128 1
118 99 1
98 59 1
48 79 1
60 149 1
14 25 1
2 123 1
19 130 1
64 125 1
59 50 1
89 50 1
82 53 1
107 38 1
114 5 1
139 140 1
42 43 1
15 66 1
17 138 1
128 69 1
4 25 1
107 118 1
108 29 1
51 22 1
115 116 1
128 99 1
104 25 1
104 135 1
134 85 1
19 40 1
120 149 1
82 13 1
59 110 1
54 45 1
26 47 1
39 30 1
109 70 1
84 65 1
0 61 1
117 128 1
62 123 1
63 134 1
88 109 1
111 92 1
145 146 1
83 14 1
97 148 1
8 59 1
0 111 1
61 112 1
77 118 1
144 25 1
27 28 1
88 99 1
107 148 1
20 149 1
72 43 1
42 113 1
94 75 1
94 145 1
116 107 1
86 127 1
83 44 1
33 24 1
28 9 1
59 70 1
59 140 1
95 6 1
18 69 1
8 39 1
131 132 1
29 130 1
51 52 1
18 79 1
94 95 1
101 92 1
8 109 1
33 54 1
122 123 1
132 133 1
4 75 1
138 29 1
129 100 1
35 36 1
144 5 1
128 49 1
24 25 1
33 144 1
102 13 1
44 75 1
125 116 1
46 7 1
96 47 1
19 90 1
104 15 1
51 82 1
135 106 1
45 146 1
73 54 1
35 16 1
53 34 1
37 48 1
147 88 1
123 14 1
86 97 1
123 44 1
96 17 1
115 126 1
42 33 1
57 8 1
63 114 1
69 50 1
141 72 1
82 113 1
17 128 1
36 127 1
49 40 1
27 138 1
23 4 1
32 43 1
23 94 1
146 47 1
93 114 1
123 74 1
47 28 1
79 130 1
77 98 1
86 117 1
106 137 1
75 136 1
71 132 1
4 135 1
76 17 1
73 124 1
128 119 1
96 117 1
98 9 1
29 120 1
106 57 1
16 67 1
49 50 1
145 56 1
105 126 1
78 119 1
118 49 1
15 116 1
78 49 1
44 145 1
31 82 1
62 33 1
27 68 1
119 40 1
75 46 1
113 134 1
23 64 1
139 10 1
99 120 1
141 42 1
126 57 1
56 17 1
135 146 1
99 10 1
35 66 1
84 75 1
29 20 1
144 115 1
122 23 1
138 19 1
61 42 1
54 135 1
67 148 1
78 19 1
58 139 1
38 109 1
114 25 1
48 39 1
21 72 1
2 83 1
54 65 1
83 74 1
125 56 1
41 132 1
81 142 1
5 136 1
71 112 1
114 45 1
49 130 1
49 20 1
136 47 1
135 36 1
81 112 1
8 79 1
34 25 1
96 57 1
54 85 1
26 97 1
33 94 1
137 58 1
59 80 1
88 89 1
9 130 1
24 145 1
84 15 1
9 50 1
102 123 1
38 59 1
38 129 1
143 114 1
111 32 1
82 3 1
43 24 1
63 144 1
55 26 1
95 116 1
107 138 1
139 90 1
34 115 1
117 48 1
48 139 1
