320 300
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 319 1
135 319 1
0 16 1
117 133 1
0 31 1
314 165 1
92 123 1
84 190 1
161 312 1
51 67 1
57 208 1
183 229 1
35 306 1
159 145 1
6 142 1
236 222 1
152 123 1
203 234 1
210 319 1
144 85 1
130 71 1
11 117 1
73 209 1
77 288 1
145 41 1
99 115 1
146 57 1
23 99 1
202 218 1
155 276 1
313 299 1
301 47 1
278 99 1
123 184 1
264 100 1
17 108 1
222 28 1
82 23 1
181 167 1
225 319 1
124 140 1
145 116 1
31 317 1
318 154 1
215 201 1
227 123 1
211 77 1
0 61 1
212 168 1
251 72 1
0 181 1
200 66 1
140 36 1
307 188 1
294 70 1
296 12 1
206 147 1
189 160 1
28 284 1
60 319 1
0 211 1
233 69 1
126 22 1
116 117 1
275 21 1
92 318 1
199 230 1
307 203 1
208 104 1
57 178 1
176 117 1
0 301 1
152 138 1
272 78 1
299 255 1
229 275 1
182 78 1
76 197 1
104 225 1
56 72 1
300 319 1
158 114 1
6 277 1
198 199 1
292 173 1
240 319 1
193 74 1
155 156 1
0 271 1
38 204 1
164 60 1
239 210 1
209 300 1
227 93 1
57 148 1
0 91 1
91 92 1
186 277 1
125 6 1
150 319 1
118 134 1
271 77 1
316 182 1
107 153 1
0 76 1
316 17 1
269 120 1
131 267 1
197 48 1
262 293 1
317 213 1
216 127 1
205 86 1
154 185 1
239 75 1
294 145 1
114 175 1
88 284 1
259 140 1
74 300 1
216 7 1
201 232 1
66 67 1
171 112 1
125 51 1
220 221 1
14 300 1
237 13 1
162 208 1
244 65 1
254 120 1
233 234 1
159 265 1
110 201 1
71 312 1
71 27 1
30 319 1
214 110 1
33 154 1
239 285 1
109 245 1
247 293 1
0 106 1
175 11 1
212 78 1
259 275 1
234 85 1
52 308 1
59 75 1
207 28 1
124 275 1
290 36 1
164 15 1
121 2 1
192 73 1
182 273 1
116 282 1
157 263 1
255 319 1
183 64 1
139 110 1
125 261 1
0 226 1
200 111 1
261 277 1
139 5 1
86 222 1
9 145 1
277 23 1
159 40 1
245 186 1
216 292 1
204 190 1
71 12 1
128 294 1
295 206 1
54 295 1
201 172 1
108 169 1
170 246 1
302 48 1
35 21 1
286 92 1
258 244 1
206 222 1
243 94 1
0 121 1
34 170 1
305 216 1
204 100 1
204 130 1
261 262 1
8 114 1
188 144 1
303 19 1
83 69 1
0 151 1
33 124 1
317 33 1
308 174 1
165 319 1
23 129 1
266 207 1
174 115 1
73 269 1
154 260 1
263 234 1
74 285 1
275 51 1
256 227 1
37 113 1
31 227 1
129 130 1
251 117 1
13 254 1
190 206 1
105 319 1
81 157 1
164 300 1
292 38 1
160 161 1
12 268 1
264 250 1
49 65 1
47 63 1
74 150 1
129 160 1
70 146 1
55 131 1
214 20 1
220 311 1
53 84 1
178 179 1
87 43 1
89 240 1
121 62 1
49 5 1
79 95 1
277 83 1
121 32 1
303 289 1
120 319 1
172 278 1
51 7 1
194 135 1
101 27 1
0 286 1
198 184 1
58 14 1
79 50 1
195 319 1
287 303 1
129 10 1
160 191 1
49 200 1
134 240 1
158 219 1
303 49 1
254 150 1
23 219 1
80 291 1
79 215 1
303 154 1
0 136 1
66 157 1
96 142 1
180 319 1
205 296 1
84 100 1
47 288 1
32 288 1
220 206 1
199 185 1
44 30 1
67 188 1
209 195 1
252 163 1
297 178 1
143 54 1
294 160 1
284 15 1
103 194 1
45 319 1
1 302 1
46 302 1
