150 600
0 123 1
123 96 1
96 41 1
41 10 1
10 15 1
15 77 1
77 132 1
132 99 1
99 5 1
5 121 1
121 44 1
44 11 1
11 59 1
59 89 1
89 58 1
58 27 1
27 127 1
127 52 1
52 64 1
64 73 1
73 12 1
12 122 1
122 47 1
47 68 1
68 43 1
43 118 1
118 81 1
81 30 1
30 35 1
35 26 1
26 87 1
87 48 1
48 79 1
79 129 1
129 135 1
135 86 1
86 75 1
75 72 1
72 110 1
110 119 1
119 70 1
70 1 1
1 105 1
105 9 1
9 65 1
65 104 1
104 97 1
97 142 1
142 66 1
66 149 1
127 100 1
79 69 1
129 93 1
7 4 1
19 125 1
17 53 1
42 7 1
56 27 1
107 38 1
141 107 1
131 94 1
17 104 1
74 117 1
134 140 1
30 85 1
45 93 1
70 15 1
116 148 1
21 145 1
134 36 1
43 27 1
137 53 1
104 132 1
105 50 1
44 144 1
144 133 1
143 30 1
145 88 1
58 120 1
109 71 1
52 11 1
6 139 1
117 21 1
109 33 1
136 40 1
102 58 1
109 143 1
3 20 1
136 15 1
72 128 1
96 83 1
70 111 1
63 80 1
143 16 1
147 82 1
30 31 1
48 37 1
6 19 1
107 81 1
12 14 1
113 139 1
7 25 1
17 149 1
34 96 1
46 33 1
0 78 1
37 114 1
82 136 1
22 31 1
45 51 1
81 22 1
65 110 1
94 46 1
65 51 1
6 128 1
93 109 1
59 15 1
45 77 1
142 7 1
90 44 1
143 52 1
28 105 1
137 26 1
80 6 1
12 4 1
80 16 1
3 78 1
125 44 1
108 100 1
95 57 1
20 38 1
72 64 1
120 84 1
103 62 1
62 122 1
55 126 1
126 107 1
19 57 1
137 66 1
121 140 1
16 40 1
141 144 1
18 50 1
31 86 1
67 115 1
95 1 1
40 79 1
1 72 1
3 130 1
45 118 1
25 126 1
70 18 1
97 59 1
44 13 1
105 42 1
75 50 1
120 138 1
65 2 1
14 86 1
149 126 1
21 65 1
146 52 1
101 60 1
40 82 1
130 38 1
13 29 1
132 67 1
27 15 1
17 74 1
37 58 1
100 20 1
69 39 1
26 56 1
85 67 1
39 142 1
124 51 1
104 129 1
108 114 1
84 16 1
149 128 1
31 4 1
1 4 1
122 131 1
69 98 1
126 134 1
124 42 1
110 71 1
74 60 1
114 66 1
42 44 1
126 141 1
52 130 1
76 144 1
123 84 1
38 89 1
132 146 1
19 123 1
60 13 1
96 37 1
42 98 1
36 143 1
89 94 1
71 44 1
37 105 1
36 30 1
72 92 1
65 92 1
140 98 1
56 144 1
111 10 1
130 86 1
59 146 1
111 122 1
51 125 1
147 116 1
9 43 1
2 12 1
6 126 1
135 79 1
24 56 1
87 51 1
125 106 1
11 63 1
37 137 1
142 17 1
68 76 1
29 129 1
125 25 1
93 50 1
33 27 1
97 101 1
2 143 1
129 10 1
137 83 1
34 46 1
25 88 1
14 36 1
87 148 1
116 115 1
116 85 1
34 8 1
55 73 1
56 48 1
92 6 1
108 110 1
70 35 1
22 138 1
113 10 1
146 1 1
23 19 1
48 15 1
95 132 1
6 88 1
45 112 1
46 18 1
59 61 1
117 120 1
113 87 1
4 116 1
73 101 1
36 1 1
86 129 1
52 111 1
31 56 1
78 33 1
41 0 1
111 142 1
103 63 1
145 6 1
125 26 1
52 89 1
113 69 1
32 68 1
60 29 1
65 16 1
132 126 1
139 11 1
54 22 1
16 83 1
0 61 1
148 112 1
144 47 1
114 34 1
45 6 1
149 62 1
48 53 1
55 20 1
20 27 1
35 41 1
140 112 1
0 21 1
132 114 1
30 103 1
1 50 1
73 145 1
17 116 1
133 21 1
119 74 1
122 39 1
55 70 1
20 121 1
42 28 1
71 83 1
61 49 1
121 108 1
92 118 1
117 111 1
3 46 1
116 142 1
34 136 1
60 103 1
6 115 1
5 61 1
44 39 1
81 143 1
70 46 1
31 26 1
45 33 1
14 106 1
79 76 1
36 144 1
58 109 1
135 110 1
4 100 1
25 148 1
42 29 1
3 112 1
67 62 1
145 83 1
82 76 1
6 87 1
92 12 1
118 27 1
147 140 1
6 25 1
75 22 1
27 93 1
67 3 1
62 53 1
47 141 1
67 68 1
1 116 1
71 147 1
76 41 1
64 46 1
137 57 1
42 117 1
106 5 1
76 35 1
0 42 1
65 58 1
99 116 1
74 61 1
75 39 1
93 69 1
29 90 1
74 134 1
107 19 1
143 136 1
138 107 1
144 30 1
63 23 1
19 141 1
126 92 1
73 2 1
135 54 1
147 17 1
137 19 1
22 89 1
81 130 1
86 32 1
