260 300
0 182 1
182 84 1
84 240 1
240 113 1
113 119 1
119 79 1
79 120 1
120 231 1
231 144 1
144 216 1
216 227 1
227 141 1
141 243 1
243 21 1
21 199 1
199 207 1
207 203 1
203 190 1
190 210 1
210 27 1
27 16 1
16 39 1
39 140 1
140 193 1
193 217 1
217 41 1
41 218 1
218 115 1
115 118 1
118 213 1
213 153 1
153 97 1
97 89 1
89 230 1
230 128 1
128 24 1
24 156 1
156 219 1
219 176 1
176 93 1
93 220 1
220 102 1
102 110 1
110 65 1
65 15 1
15 105 1
105 248 1
248 158 1
158 34 1
34 235 1
235 145 1
145 80 1
80 253 1
253 154 1
154 100 1
100 161 1
161 254 1
254 151 1
151 33 1
33 159 1
159 170 1
170 150 1
150 234 1
234 171 1
171 183 1
183 60 1
60 147 1
147 173 1
173 117 1
117 47 1
47 138 1
138 94 1
94 232 1
232 35 1
35 85 1
85 137 1
137 251 1
251 108 1
108 50 1
50 44 1
44 126 1
126 250 1
250 121 1
121 52 1
52 70 1
70 259 1
146 56 1
171 166 1
258 201 1
206 138 1
115 107 1
64 191 1
177 68 1
193 233 1
14 179 1
50 132 1
97 27 1
69 224 1
97 189 1
174 245 1
156 21 1
109 32 1
171 156 1
259 7 1
186 214 1
213 57 1
174 200 1
251 76 1
117 56 1
40 37 1
220 32 1
172 213 1
20 69 1
157 113 1
20 195 1
176 37 1
87 38 1
85 23 1
198 2 1
83 156 1
27 141 1
130 160 1
5 6 1
30 213 1
213 165 1
97 119 1
42 122 1
94 12 1
50 241 1
83 155 1
248 123 1
78 76 1
45 146 1
92 68 1
245 110 1
164 15 1
177 229 1
200 57 1
10 160 1
221 111 1
116 157 1
2 143 1
150 202 1
158 75 1
92 136 1
239 190 1
98 214 1
157 158 1
193 202 1
251 246 1
24 174 1
93 169 1
213 246 1
42 15 1
166 70 1
7 131 1
109 96 1
119 256 1
211 128 1
130 197 1
214 12 1
43 19 1
10 102 1
126 142 1
104 103 1
201 131 1
87 162 1
144 96 1
40 44 1
52 199 1
146 212 1
179 43 1
168 110 1
40 120 1
53 129 1
258 65 1
67 25 1
188 131 1
64 116 1
48 74 1
20 25 1
185 227 1
7 222 1
22 197 1
198 39 1
139 227 1
22 90 1
174 183 1
133 51 1
250 166 1
203 53 1
76 159 1
12 179 1
6 133 1
126 195 1
134 231 1
136 17 1
164 185 1
212 120 1
50 24 1
47 75 1
209 211 1
167 113 1
108 34 1
83 105 1
47 99 1
147 236 1
143 253 1
14 65 1
207 236 1
226 144 1
177 167 1
73 78 1
168 105 1
45 202 1
56 53 1
93 27 1
67 120 1
118 172 1
116 95 1
206 81 1
190 256 1
80 73 1
128 130 1
132 254 1
253 201 1
186 99 1
96 135 1
149 152 1
241 75 1
11 117 1
226 37 1
60 168 1
85 57 1
41 239 1
151 249 1
37 167 1
256 31 1
244 121 1
35 247 1
107 89 1
83 135 1
178 249 1
144 123 1
201 107 1
119 45 1
154 88 1
134 76 1
211 202 1
259 195 1
254 228 1
230 182 1
146 209 1
181 106 1
72 206 1
214 55 1
13 85 1
84 166 1
196 47 1
128 68 1
217 26 1
111 189 1
3 157 1
5 43 1
252 157 1
221 188 1
92 191 1
166 229 1
131 245 1
205 167 1
201 13 1
172 58 1
183 104 1
45 6 1
155 5 1
54 126 1
7 187 1
91 138 1
134 18 1
29 108 1
135 218 1
224 213 1
16 170 1
218 69 1
137 106 1
73 232 1
42 37 1
225 69 1
67 68 1
82 251 1
67 140 1
154 257 1
204 65 1
242 186 1
60 122 1
81 35 1
157 32 1
76 231 1
19 135 1
17 112 1
