500 15700
0 35 81
35 52 4
52 74 55
74 77 29
77 79 96
79 96 22
96 101 63
101 132 20
132 141 82
141 159 22
159 179 39
179 202 25
202 249 90
249 286 20
286 360 99
360 361 39
361 383 49
383 394 83
394 399 80
399 494 14
494 499 63
15 205 42
420 444 23
181 440 3
171 273 42
215 273 9
172 251 28
16 335 18
104 435 14
283 340 10
26 205 61
447 458 80
245 379 91
229 259 86
35 484 58
84 176 100
209 250 35
178 280 5
359 470 38
53 318 36
14 33 2
187 240 43
384 479 17
232 398 35
22 128 82
84 269 53
56 259 32
107 227 78
190 441 48
113 195 16
294 421 23
19 294 82
27 236 30
81 262 84
157 216 76
88 483 95
93 479 27
266 395 56
317 353 44
30 134 17
26 312 18
4 301 26
6 15 89
64 102 82
241 434 79
17 23 7
134 242 5
39 67 41
397 406 46
41 78 83
17 276 39
146 325 42
70 188 59
76 415 14
133 436 35
393 430 46
399 441 34
41 374 8
86 248 83
11 297 54
237 248 38
328 437 97
78 315 67
166 210 12
156 452 12
238 373 41
276 429 42
1 311 30
224 405 74
207 425 71
68 401 56
447 485 29
188 210 9
11 254 24
72 226 5
375 485 67
11 90 43
188 402 72
394 464 53
348 411 62
77 377 57
77 308 31
212 401 43
312 421 57
136 498 54
79 332 12
181 218 74
162 187 7
93 161 73
125 224 14
123 333 40
147 482 18
141 270 21
405 479 23
56 201 44
208 304 100
5 177 98
126 449 12
19 473 54
115 418 4
132 170 14
319 434 34
39 411 28
182 319 72
237 380 78
135 410 89
438 458 57
97 291 89
181 424 69
18 36 64
152 337 85
290 313 77
156 188 92
31 288 71
417 456 14
82 435 44
84 225 94
131 166 21
252 297 94
357 394 30
16 174 63
120 121 65
32 389 69
37 323 33
90 470 59
14 84 59
340 480 56
286 339 52
66 328 28
133 278 34
340 409 42
343 396 23
8 410 39
319 417 96
177 337 98
107 378 67
269 408 37
191 295 12
146 390 68
341 351 57
135 374 94
368 412 29
71 388 78
25 332 70
30 357 16
198 205 100
94 424 57
119 169 21
28 370 19
175 209 53
216 306 39
28 361 79
207 348 58
76 473 93
179 449 34
93 419 94
189 250 51
185 330 97
213 469 67
227 467 34
385 446 47
356 450 69
303 380 72
70 343 40
59 349 29
178 194 90
411 460 71
233 421 11
238 361 47
56 415 16
39 241 89
254 308 65
147 285 30
104 451 23
43 384 56
46 210 69
146 388 69
92 294 1
231 258 57
203 273 20
65 238 25
21 297 91
198 208 55
252 492 87
208 445 6
73 236 62
47 129 14
34 379 41
220 358 13
472 497 13
266 356 34
128 192 90
85 273 42
125 221 77
270 430 49
241 361 23
3 378 31
357 477 40
261 313 76
35 95 38
43 188 65
314 340 10
116 338 1
311 456 62
203 422 44
171 444 34
96 351 34
375 406 12
190 249 91
220 354 93
227 272 50
14 66 37
338 378 26
76 262 72
173 465 51
75 204 24
58 166 59
98 471 80
72 214 84
261 480 69
99 317 82
36 88 66
255 369 66
56 361 23
107 443 31
94 194 63
286 490 84
130 135 40
10 321 98
146 311 9
158 299 75
155 190 70
59 379 66
113 209 95
261 490 72
7 91 87
74 412 63
129 338 28
0 42 64
281 495 14
95 390 69
447 464 44
170 232 82
256 478 6
130 184 59
401 471 93
320 376 39
372 395 61
222 261 20
1 396 53
367 468 78
163 171 94
198 458 5
7 51 67
330 458 54
393 409 96
92 184 54
355 448 63
12 173 89
77 241 77
33 296 18
145 395 90
281 426 25
270 288 95
86 468 83
64 365 32
233 351 87
101 415 27
221 488 35
15 450 13
169 266 12
377 394 58
135 249 71
162 290 51
164 457 78
36 158 60
168 318 63
109 407 95
154 226 71
140 152 57
92 314 2
220 337 64
11 152 89
187 383 60
187 346 75
50 55 64
18 305 4
173 320 27
41 73 75
311 346 25
99 287 13
55 74 77
336 444 13
341 474 77
205 470 58
30 166 11
83 202 66
29 423 61
132 369 62
97 433 45
182 253 69
118 189 61
183 257 42
157 398 9
269 271 64
283 468 57
211 485 70
72 382 23
97 276 2
215 414 18
2 475 74
90 129 95
198 462 87
316 372 5
2 424 24
148 233 100
254 377 97
238 413 1
91 306 65
15 319 38
128 442 69
20 289 68
237 484 43
398 416 49
51 80 92
172 457 62
19 207 46
133 480 79
57 150 7
170 269 22
181 468 58
28 328 10
446 485 94
153 311 39
126 330 89
65 436 43
63 383 1
139 438 32
107 175 54
343 471 3
90 335 10
125 239 17
136 349 22
352 476 26
79 188 7
89 169 35
24 194 29
119 279 5
113 215 83
220 467 58
48 127 73
247 450 68
145 341 45
50 341 36
220 269 8
160 202 27
62 211 40
323 468 88
5 362 43
165 378 18
5 249 70
338 414 75
229 437 58
178 326 33
436 455 1
220 381 71
357 438 57
126 143 29
274 458 5
60 123 74
154 265 94
329 493 100
295 386 100
73 491 5
214 320 34
31 385 71
440 497 15
421 474 54
195 231 91
171 361 16
15 189 5
26 113 61
68 142 36
58 219 80
120 434 74
9 165 18
63 154 31
158 242 88
211 334 87
453 470 17
92 496 72
28 189 90
202 285 5
219 287 1
62 455 11
78 494 35
80 270 90
279 451 53
121 455 4
64 437 44
145 385 87
59 227 21
248 492 28
358 478 32
61 129 28
113 122 63
185 434 58
139 289 20
254 274 40
72 315 61
184 372 2
207 488 89
11 198 52
385 415 37
263 494 97
49 289 67
246 461 62
410 476 39
213 315 86
186 295 98
165 302 61
59 223 4
213 401 27
258 428 78
8 56 21
215 283 99
322 499 89
152 288 87
138 224 81
17 172 10
96 121 4
77 181 65
93 451 84
273 329 50
12 180 86
280 352 88
