1480 1000
0 1 65
1 4 63
4 7 30
7 24 92
24 34 75
34 36 68
36 54 70
54 67 64
67 90 62
90 130 78
130 137 64
137 158 42
158 169 17
169 173 17
173 191 18
191 199 70
199 217 81
217 224 59
224 227 4
227 282 58
282 292 71
292 319 2
319 334 52
334 336 11
336 368 7
368 372 67
372 396 47
396 407 92
407 419 2
419 440 8
440 441 45
441 455 86
455 463 66
463 492 85
492 495 77
495 520 58
520 526 9
526 538 96
538 542 73
542 546 85
546 552 68
552 563 49
563 582 57
582 587 81
587 602 85
602 623 13
623 649 36
649 676 43
676 685 53
685 688 12
688 709 15
709 732 100
732 742 94
742 745 35
745 757 88
757 762 19
762 791 11
791 795 24
795 806 20
806 833 85
833 837 47
837 842 45
842 844 62
844 851 97
851 853 26
853 863 29
863 876 66
876 885 44
885 895 96
895 939 20
939 950 6
950 958 95
958 972 76
972 990 94
990 994 59
994 1006 82
1006 1024 26
1024 1041 96
1041 1056 83
1056 1084 56
1084 1106 16
1106 1139 15
1139 1148 25
1148 1151 18
1151 1165 20
1165 1175 45
1175 1181 18
1181 1183 46
1183 1260 51
1260 1280 39
1280 1287 27
1287 1291 26
1291 1298 59
1298 1309 39
1309 1320 70
1320 1327 90
1327 1335 90
1335 1338 6
1338 1344 90
1344 1351 94
1351 1353 84
1353 1355 47
1355 1376 53
1376 1377 99
1377 1391 81
1391 1401 76
1401 1431 58
1431 1438 94
1438 1441 15
1441 1466 67
1466 1472 53
1472 1479 34
915 1284 94
35 606 82
614 751 94
377 1289 20
1274 1432 41
938 1383 48
877 1302 95
1435 1464 92
313 917 11
884 961 25
412 1431 3
315 915 100
101 122 96
329 991 19
165 493 11
38 181 30
33 1273 55
504 789 38
425 1155 15
1039 1349 66
66 627 2
278 1449 87
200 638 23
569 1345 53
95 961 35
238 508 31
190 417 82
217 1288 69
545 977 87
354 1356 13
359 1186 67
551 1321 13
59 251 72
555 591 7
264 918 2
330 482 53
1138 1418 33
280 1305 43
104 1117 9
719 837 51
1008 1029 80
955 1147 66
814 938 10
973 1085 46
385 966 71
574 851 50
693 1264 4
271 1213 100
395 812 48
813 991 42
1035 1427 34
557 1075 17
372 773 32
19 1211 21
916 1364 28
703 743 65
799 835 68
309 883 77
336 1307 6
371 1197 54
405 511 27
752 1009 100
301 589 44
1229 1383 48
113 419 46
508 781 45
583 1214 48
1101 1241 90
25 1475 6
381 399 6
333 960 15
1343 1432 68
272 447 23
386 1424 7
1059 1463 2
1036 1385 36
652 1462 53
481 1225 37
101 672 37
409 850 25
445 1140 97
667 1083 91
1150 1253 24
1077 1199 62
172 869 10
297 1443 92
516 1323 86
387 1125 31
564 1136 87
496 678 55
560 1114 55
733 1163 26
575 963 74
18 1126 40
99 1411 17
926 1069 72
897 975 15
778 1418 18
1053 1444 47
244 817 89
648 1215 5
615 635 38
200 234 25
829 1031 61
586 717 47
436 755 65
273 395 53
434 874 71
165 868 67
134 1155 66
361 572 85
781 805 69
421 1444 70
547 693 44
504 1304 51
566 607 93
565 588 26
278 553 97
278 956 12
495 1153 39
152 1378 66
222 473 35
565 1132 39
148 1425 85
880 1156 67
103 1213 16
436 1268 94
321 785 56
408 540 10
457 1262 31
631 735 17
746 810 28
730 1126 4
1096 1191 18
248 1465 25
799 1359 50
99 629 57
574 1078 97
143 775 23
125 1061 85
1108 1338 53
1181 1196 3
210 812 36
144 1350 99
420 1058 1
1374 1383 81
364 682 52
1248 1320 10
362 1420 80
2 1176 49
606 1157 78
265 849 28
1105 1300 89
386 1403 22
187 1033 92
1038 1099 18
25 537 25
9 1278 9
1133 1190 93
51 62 71
22 255 19
30 494 58
928 1201 39
305 855 23
449 873 49
1047 1473 95
1037 1441 14
467 1420 81
120 804 34
68 911 83
189 1440 98
603 610 1
510 1032 99
633 787 13
494 978 38
267 539 6
150 424 80
204 387 46
971 1302 52
945 1311 27
773 929 74
113 307 50
629 1195 65
213 1101 2
196 1431 9
399 771 50
537 1089 55
214 906 46
207 222 19
719 925 86
592 683 88
674 1151 79
69 806 30
409 1301 88
989 1125 3
1103 1477 32
41 1089 27
1020 1359 38
105 222 34
786 1039 41
413 756 39
527 1058 83
966 993 66
239 1305 7
871 1285 76
641 1216 5
616 738 93
16 1389 3
789 1263 59
361 681 7
176 214 45
188 1210 38
207 592 48
731 1093 74
613 761 73
400 1030 29
296 1085 3
39 1370 76
550 630 52
555 644 88
214 544 45
1128 1368 75
98 1243 81
86 882 56
41 173 70
666 729 74
13 137 33
101 586 19
113 443 47
189 511 48
770 1091 76
163 567 56
466 877 93
1054 1396 87
274 1450 15
683 1036 52
43 1388 28
613 860 25
769 1009 98
239 292 12
26 197 41
488 728 35
311 1332 98
806 1239 16
54 352 19
774 1189 33
903 1321 13
1090 1375 24
1004 1228 53
9 851 25
762 1253 20
743 947 12
74 560 73
893 1439 77
15 838 80
229 358 80
767 984 84
1046 1278 75
392 1463 13
697 769 43
204 1052 87
286 852 89
694 1027 98
249 672 48
277 1228 50
