150 2200
0 29 1
0 7 1
0 119 1
0 104 1
0 46 1
0 76 1
0 69 1
0 94 1
0 107 1
0 134 1
0 135 1
0 71 1
79 149 1
105 149 1
13 149 1
115 149 1
33 149 1
12 149 1
127 149 1
48 149 1
108 149 1
32 149 1
24 149 1
40 149 1
99 103 68
23 124 1
99 101 29
44 73 15
32 47 43
59 65 48
12 139 41
49 22 44
133 35 77
100 45 88
22 51 66
68 105 71
1 40 38
76 28 46
84 51 15
28 142 21
84 67 79
70 43 96
89 128 23
132 34 84
117 146 65
5 127 33
34 52 47
112 5 19
124 22 52
23 111 29
46 43 8
64 28 69
104 139 96
68 124 45
11 55 2
67 146 56
52 107 96
124 65 2
13 128 53
62 107 37
131 126 8
108 103 86
24 7 49
140 8 93
149 90 94
8 84 58
19 56 84
137 77 20
124 29 31
140 34 46
69 51 14
99 142 7
131 143 3
86 125 16
2 48 94
97 99 19
87 28 71
57 90 88
129 63 78
15 96 34
148 5 56
119 7 49
83 110 37
88 30 46
12 110 93
114 57 54
85 46 54
70 48 24
100 57 39
8 59 25
25 145 25
90 91 61
13 44 66
113 46 61
27 6 4
18 148 71
83 90 40
129 69 5
105 1 18
104 37 66
71 72 89
4 16 84
27 59 61
72 67 21
75 146 75
146 105 29
133 148 84
45 71 50
74 59 53
36 63 38
26 10 82
45 50 54
34 148 81
21 72 93
72 85 98
0 101 42
120 14 66
23 136 8
99 42 63
21 13 9
45 91 91
81 41 25
134 131 23
63 108 89
1 3 24
44 86 62
136 70 7
52 26 17
145 62 78
63 129 16
24 82 95
140 2 21
60 59 22
104 60 91
49 129 99
64 36 49
90 53 78
1 119 32
73 148 31
135 39 65
136 27 47
17 137 51
108 118 16
16 43 47
10 105 67
36 85 8
90 43 12
35 8 65
84 13 19
34 3 21
43 103 1
61 18 78
70 12 2
35 121 22
59 20 41
76 26 66
37 8 54
134 51 48
96 3 78
115 107 48
53 68 32
73 135 11
84 129 71
148 25 24
71 138 77
20 5 75
123 17 63
9 134 88
31 8 60
37 77 23
101 20 76
57 70 20
98 79 94
79 54 10
118 14 13
31 135 62
25 47 3
102 1 69
49 61 44
93 107 22
96 143 97
99 140 1
127 38 77
38 50 5
74 21 56
43 0 34
107 59 96
119 129 75
129 112 45
116 132 16
89 114 30
20 43 71
29 83 1
12 101 27
121 101 69
57 74 94
83 52 88
13 56 91
41 45 40
144 5 67
10 137 18
59 147 5
1 113 6
103 101 69
89 13 38
13 10 99
60 36 58
80 29 55
142 121 19
122 118 99
64 143 3
9 22 33
23 81 2
4 33 15
8 149 7
21 137 34
131 83 75
7 67 87
32 49 40
105 48 37
55 89 32
38 65 87
12 137 31
3 140 25
20 25 87
147 52 91
119 130 86
70 17 50
104 34 62
93 58 25
19 9 2
129 14 92
110 95 13
86 8 47
139 93 15
98 68 82
75 142 87
29 85 31
136 148 89
70 82 26
90 125 31
33 85 13
19 75 79
49 76 54
40 124 41
103 36 19
98 25 62
130 75 86
64 46 12
65 38 72
60 67 22
2 40 7
90 71 94
25 58 31
136 130 9
120 103 53
54 116 65
1 28 12
95 112 94
6 119 100
104 66 35
23 40 68
89 58 57
96 30 100
125 30 50
113 4 80
146 137 99
22 133 39
74 6 48
70 76 53
69 91 37
110 88 65
75 67 24
133 62 85
105 68 2
69 113 61
14 129 55
48 146 94
4 53 23
57 111 27
66 46 61
118 127 26
104 106 16
26 76 58
131 21 53
8 100 73
49 107 31
53 0 48
106 47 53
119 41 87
19 131 44
5 142 19
1 38 1
70 134 24
12 20 37
138 66 20
19 45 57
18 70 29
61 68 58
104 100 1
23 30 51
17 15 39
44 26 16
115 71 83
68 27 39
107 143 64
74 45 64
109 89 22
139 79 37
51 79 66
87 26 51
113 137 47
29 136 81
103 139 62
1 128 28
34 74 83
63 114 43
81 46 70
33 62 55
42 104 58
71 86 11
58 7 7
112 106 71
73 26 24
97 93 46
80 92 70
43 71 43
100 135 42
17 27 81
111 92 4
13 60 15
7 29 67
67 79 74
17 30 78
31 85 31
15 51 70
39 120 37
49 73 78
66 124 75
123 104 83
69 101 43
20 40 29
22 26 66
114 148 91
116 75 12
133 8 83
76 106 87
35 0 88
120 88 7
40 122 35
71 82 88
0 128 49
29 42 69
93 88 4
12 89 22
76 123 93
97 40 59
70 15 48
46 53 27
99 94 53
124 9 99
39 139 42
82 81 67
100 71 79
34 64 79
128 26 76
87 113 67
48 93 55
94 41 85
18 94 52
0 65 22
144 105 90
46 54 99
112 85 33
53 73 100
116 90 8
131 48 34
97 121 18
139 27 45
23 138 59
84 6 64
77 70 41
56 92 66
133 136 5
66 57 37
60 26 41
136 117 5
111 100 61
74 43 91
120 75 10
30 112 98
18 57 20
43 96 1
61 26 6
58 0 20
80 96 43
61 78 17
7 119 24
118 50 69
115 9 44
23 107 81
148 4 33
38 58 79
19 26 36
15 50 90
118 7 53
128 90 12
85 148 11
143 149 23
29 71 26
73 18 18
108 34 29
39 86 90
99 91 77
35 62 68
53 108 12
7 91 77
116 93 99
49 134 62
136 30 56
85 90 14
49 118 54
102 48 51
1 18 40
58 54 65
126 143 1
60 66 13
132 50 43
145 122 7
60 137 81
109 118 88
36 120 91
33 92 60
128 107 95
74 104 39
63 45 90
81 91 76
104 54 93
77 149 75
15 127 41
120 65 87
103 94 40
39 80 40
15 139 97
111 104 69
15 39 52
63 145 50
26 77 71
105 15 67
68 62 87
7 21 51
106 63 41
11 64 68
27 49 2
27 70 56
64 84 80
89 149 99
42 13 70
58 17 24
113 117 5
80 25 46
48 32 46
95 13 96
64 82 78
108 128 23
74 121 12
101 96 22
121 47 74
34 60 32
125 147 40
24 78 61
71 142 26
22 40 71
59 37 92
71 133 53
54 115 26
98 102 97
53 118 69
11 36 74
72 49 5
41 118 45
115 125 25
101 48 60
11 41 23
47 24 98
63 130 37
53 101 100
31 82 90
91 67 50
128 119 99
103 113 76
134 3 92
80 100 81
148 137 2
65 145 43
72 118 31
117 13 43
42 128 19
112 18 99
90 51 86
103 22 78
85 91 73
4 5 43
57 114 18
118 38 83
28 122 49
72 21 82
98 62 93
0 74 46
73 16 82
7 95 62
9 3 55
33 81 95
74 85 4
144 98 30
58 106 95
36 43 30
12 122 95
14 108 68
36 13 15
19 108 49
33 65 14
87 62 58
137 76 80
34 50 48
36 39 3
26 25 71
79 74 15
110 41 91
106 102 28
23 123 43
1 76 4
130 2 56
148 1 63
78 102 52
116 145 16
73 29 80
129 131 75
149 20 88
22 127 61
149 134 69
95 125 45
13 103 27
