240 300
0 47 1
0 4 1
0 125 1
0 20 1
0 190 1
0 134 1
0 123 1
0 236 1
0 221 1
0 225 1
0 43 1
0 129 1
0 197 1
0 209 1
0 207 1
61 239 1
55 239 1
71 239 1
23 239 1
9 239 1
53 239 1
51 239 1
150 239 1
20 239 1
173 239 1
127 239 1
42 239 1
131 239 1
192 239 1
26 239 1
146 86 60
3 130 18
221 152 46
160 35 18
177 163 59
221 198 28
109 4 22
116 117 39
77 68 28
105 95 44
86 8 57
136 68 41
48 174 18
33 198 70
87 176 41
210 200 96
177 16 2
194 223 32
229 115 55
205 76 26
48 138 93
218 70 14
135 134 48
69 36 51
233 213 70
6 107 38
208 235 42
194 118 18
39 183 24
103 83 98
156 154 52
57 195 30
67 81 35
16 33 69
236 15 63
122 20 59
139 138 7
137 113 64
169 77 5
180 83 89
145 218 6
236 142 85
120 53 89
163 156 66
177 9 43
97 223 70
212 193 62
217 10 28
59 154 2
214 190 68
33 21 100
181 238 74
231 212 12
221 56 30
161 169 5
128 23 55
97 16 16
152 19 18
218 114 72
58 3 71
91 84 15
161 163 3
29 6 36
57 177 100
130 168 37
5 9 14
44 237 37
159 127 9
11 49 55
112 77 34
90 175 92
70 224 21
136 4 85
111 3 84
122 136 37
54 11 49
231 153 55
55 94 65
19 230 32
129 83 86
186 149 33
151 6 34
96 213 50
204 34 38
190 29 59
183 109 20
30 197 19
73 140 48
121 236 38
1 105 85
125 59 3
54 69 41
134 118 49
32 107 51
161 54 84
98 86 88
110 13 87
73 135 38
165 134 70
230 113 97
28 158 48
37 195 27
140 196 94
85 110 20
174 212 34
184 90 78
199 20 85
208 82 1
89 7 98
63 118 75
214 149 76
88 32 56
93 193 63
108 205 18
152 84 71
173 188 15
115 78 18
127 53 11
195 167 6
205 116 6
237 61 40
143 74 39
20 220 31
91 120 69
208 2 76
65 108 13
187 120 42
185 76 8
88 28 58
188 60 59
8 35 32
163 188 49
94 34 58
172 74 7
44 81 72
132 136 1
120 40 34
20 196 74
184 105 2
187 94 82
52 218 13
69 175 42
52 174 18
18 234 39
189 235 53
122 4 77
102 186 48
132 230 60
39 132 60
199 207 76
85 8 52
75 137 76
84 10 5
71 56 75
131 88 28
121 157 65
105 61 79
150 18 49
102 214 47
177 127 62
41 73 25
75 116 44
118 60 58
162 110 79
203 216 57
202 45 22
32 60 37
215 213 5
79 132 44
66 148 4
157 161 26
162 210 26
202 78 99
20 206 57
229 218 38
113 150 6
173 89 53
154 4 44
10 125 91
54 225 76
176 87 94
228 230 84
215 216 39
201 35 49
155 93 74
171 32 52
20 175 91
128 202 61
118 91 28
20 96 23
94 182 67
84 112 81
35 224 32
52 83 74
165 102 66
117 141 95
72 198 74
193 5 34
39 174 95
221 189 58
231 159 34
25 207 28
145 61 96
8 226 80
185 80 31
147 13 7
65 211 28
91 42 68
102 139 75
20 156 2
71 220 9
15 141 17
213 202 49
142 37 96
12 55 47
235 74 78
224 4 18
129 219 45
71 85 58
117 73 58
202 173 93
163 184 94
33 60 91
148 87 71
190 196 6
196 192 85
230 53 76
56 192 6
50 41 55
231 137 76
225 48 17
233 96 90
107 78 63
6 165 63
192 37 35
218 173 37
114 232 81
85 134 42
50 199 77
130 37 32
93 234 33
174 40 97
165 89 55
5 102 76
194 127 84
0 162 63
167 0 50
181 107 33
143 193 31
190 163 80
188 133 13
129 155 22
68 82 13
194 50 2
122 80 6
52 86 86
154 12 7
8 173 57
122 188 6
7 34 8
84 198 68
189 114 50
67 53 86
19 56 52
57 44 54
78 133 72
0 22 21
163 167 22
7 231 5
29 229 14
