150 600
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 149 1
16 117 1
89 120 1
90 149 1
53 104 1
0 131 1
59 20 1
38 119 1
0 111 1
0 21 1
131 82 1
65 46 1
0 61 1
71 112 1
0 81 1
0 141 1
0 41 1
7 118 1
102 73 1
76 127 1
76 27 1
73 24 1
72 23 1
2 73 1
142 123 1
58 89 1
74 105 1
146 117 1
67 108 1
143 114 1
127 68 1
19 80 1
67 38 1
114 115 1
23 64 1
125 76 1
8 19 1
43 14 1
111 12 1
136 87 1
137 58 1
27 58 1
0 101 1
95 36 1
134 85 1
0 121 1
105 86 1
80 149 1
133 104 1
130 149 1
96 97 1
23 124 1
84 55 1
119 130 1
36 47 1
116 47 1
133 54 1
148 29 1
84 35 1
35 16 1
75 136 1
141 22 1
28 139 1
3 84 1
48 79 1
110 149 1
37 118 1
84 95 1
40 149 1
91 82 1
59 50 1
8 129 1
100 149 1
37 98 1
107 68 1
7 98 1
86 17 1
131 52 1
5 146 1
61 42 1
20 149 1
106 147 1
87 98 1
112 73 1
146 137 1
30 149 1
52 43 1
113 54 1
0 31 1
113 104 1
143 94 1
43 64 1
89 30 1
46 67 1
4 55 1
3 124 1
139 10 1
47 88 1
129 20 1
92 103 1
91 142 1
78 69 1
148 119 1
135 76 1
133 84 1
147 8 1
139 60 1
2 33 1
103 44 1
97 98 1
125 106 1
52 133 1
63 84 1
139 40 1
79 20 1
78 79 1
83 34 1
116 77 1
5 56 1
98 59 1
124 5 1
101 62 1
91 92 1
116 27 1
96 147 1
123 14 1
43 34 1
56 7 1
140 149 1
21 132 1
23 144 1
6 127 1
113 84 1
18 79 1
131 102 1
12 3 1
65 76 1
97 48 1
38 69 1
27 138 1
63 4 1
76 147 1
73 124 1
86 137 1
107 148 1
112 83 1
64 85 1
115 106 1
6 57 1
5 76 1
62 3 1
143 4 1
103 74 1
27 148 1
25 86 1
101 112 1
19 110 1
99 80 1
0 91 1
33 114 1
28 89 1
75 26 1
138 49 1
35 106 1
50 149 1
101 22 1
78 119 1
129 90 1
89 20 1
146 27 1
120 149 1
16 17 1
1 112 1
85 66 1
141 142 1
29 20 1
132 83 1
47 58 1
34 85 1
87 48 1
33 84 1
25 116 1
73 34 1
115 116 1
117 108 1
102 3 1
108 129 1
121 62 1
29 30 1
138 99 1
60 149 1
0 51 1
91 132 1
49 100 1
77 58 1
108 29 1
113 114 1
23 54 1
4 105 1
142 53 1
137 78 1
48 109 1
77 38 1
97 148 1
137 8 1
59 120 1
41 72 1
42 63 1
92 83 1
93 94 1
145 96 1
27 88 1
77 68 1
95 116 1
142 133 1
55 96 1
58 39 1
42 103 1
15 36 1
19 130 1
141 92 1
38 59 1
42 33 1
99 50 1
147 38 1
126 77 1
86 37 1
81 72 1
126 117 1
135 136 1
38 79 1
61 92 1
141 62 1
42 53 1
31 32 1
125 86 1
65 66 1
35 86 1
119 140 1
119 40 1
109 120 1
23 74 1
54 35 1
88 69 1
53 84 1
57 118 1
94 55 1
134 115 1
119 80 1
97 18 1
86 107 1
28 29 1
132 13 1
27 28 1
106 47 1
89 130 1
31 22 1
70 149 1
75 126 1
88 109 1
27 108 1
4 65 1
0 11 1
68 79 1
43 74 1
103 24 1
3 44 1
67 48 1
98 49 1
144 95 1
43 114 1
2 83 1
74 25 1
44 85 1
136 77 1
108 89 1
106 87 1
63 14 1
94 135 1
136 27 1
128 49 1
143 124 1
78 129 1
1 82 1
138 69 1
134 5 1
33 94 1
43 24 1
103 124 1
22 113 1
49 80 1
94 85 1
47 8 1
94 145 1
45 96 1
27 38 1
148 139 1
89 10 1
44 45 1
22 93 1
63 114 1
19 140 1
2 93 1
98 109 1
89 140 1
82 73 1
118 69 1
91 112 1
52 123 1
72 123 1
114 85 1
85 16 1
15 116 1
111 142 1
101 52 1
75 116 1
48 49 1
91 32 1
47 128 1
104 115 1
67 138 1
19 60 1
142 113 1
28 39 1
49 10 1
95 16 1
127 18 1
67 58 1
111 132 1
144 5 1
71 142 1
114 55 1
41 22 1
128 109 1
15 86 1
124 115 1
18 69 1
16 7 1
13 4 1
35 66 1
25 56 1
122 113 1
64 125 1
117 78 1
139 100 1
45 36 1
27 118 1
61 142 1
56 127 1
26 97 1
13 94 1
0 71 1
38 49 1
32 53 1
43 54 1
71 12 1
115 96 1
88 99 1
106 67 1
21 92 1
115 26 1
43 104 1
77 148 1
76 97 1
105 76 1
109 10 1
49 110 1
53 44 1
125 6 1
97 138 1
25 96 1
55 106 1
101 132 1
59 70 1
131 132 1
116 107 1
99 100 1
43 4 1
83 104 1
66 57 1
86 127 1
47 28 1
24 5 1
25 146 1
96 17 1
122 133 1
127 118 1
92 13 1
132 93 1
23 94 1
115 126 1
105 6 1
118 9 1
86 117 1
25 46 1
14 35 1
147 128 1
12 103 1
59 110 1
109 40 1
51 112 1
123 114 1
117 58 1
9 20 1
109 30 1
126 57 1
109 130 1
11 112 1
2 133 1
94 5 1
129 140 1
131 42 1
138 119 1
99 70 1
72 63 1
93 34 1
145 26 1
7 68 1
104 5 1
51 102 1
148 19 1
21 122 1
72 33 1
14 125 1
29 130 1
78 139 1
66 77 1
42 123 1
101 32 1
141 52 1
8 89 1
139 50 1
124 125 1
