240 300
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 239 1
2 198 1
209 197 1
78 239 1
107 30 1
0 79 1
35 205 1
210 42 1
139 192 1
0 144 1
62 63 1
193 90 1
6 72 1
189 125 1
108 83 1
149 137 1
18 188 1
112 139 1
55 56 1
233 143 1
141 38 1
0 183 1
123 85 1
224 108 1
209 210 1
156 239 1
158 224 1
0 118 1
143 239 1
54 68 1
136 163 1
94 108 1
109 32 1
223 16 1
20 21 1
33 190 1
229 22 1
190 204 1
127 24 1
141 25 1
203 87 1
219 25 1
234 239 1
26 239 1
3 212 1
28 237 1
39 239 1
104 239 1
34 178 1
32 46 1
35 62 1
195 239 1
0 131 1
1 41 1
0 92 1
219 129 1
0 40 1
119 198 1
14 80 1
188 124 1
147 109 1
223 3 1
179 11 1
205 232 1
82 18 1
175 85 1
213 32 1
211 134 1
116 13 1
160 161 1
64 130 1
50 194 1
180 64 1
53 119 1
151 204 1
129 13 1
201 98 1
0 105 1
213 188 1
58 176 1
169 239 1
166 141 1
179 24 1
127 219 1
212 226 1
46 151 1
80 224 1
142 182 1
106 146 1
35 140 1
152 62 1
149 202 1
58 137 1
47 191 1
56 200 1
29 17 1
194 26 1
120 225 1
121 31 1
228 8 1
113 179 1
196 132 1
128 25 1
44 188 1
102 194 1
166 154 1
184 120 1
216 230 1
0 66 1
30 174 1
52 239 1
111 138 1
55 30 1
173 200 1
190 61 1
190 139 1
138 22 1
217 153 1
198 212 1
97 33 1
162 150 1
206 207 1
119 81 1
186 135 1
98 190 1
179 193 1
77 78 1
93 120 1
138 113 1
9 88 1
88 128 1
38 195 1
130 239 1
22 153 1
6 137 1
139 127 1
64 169 1
32 215 1
207 195 1
83 32 1
71 150 1
219 142 1
59 99 1
133 238 1
166 219 1
228 125 1
12 117 1
184 107 1
79 236 1
16 134 1
237 17 1
70 214 1
227 33 1
9 114 1
60 165 1
60 22 1
146 121 1
9 62 1
151 113 1
187 188 1
186 57 1
237 134 1
21 87 1
100 23 1
68 173 1
86 61 1
175 124 1
7 203 1
64 117 1
140 219 1
83 214 1
93 146 1
69 148 1
6 163 1
204 10 1
205 11 1
175 111 1
99 217 1
209 67 1
134 44 1
90 13 1
137 21 1
133 17 1
20 8 1
15 133 1
220 195 1
110 85 1
36 102 1
97 72 1
123 215 1
8 35 1
67 3 1
66 210 1
157 184 1
47 113 1
141 207 1
99 165 1
16 43 1
21 204 1
15 237 1
191 153 1
206 155 1
10 63 1
142 91 1
155 65 1
3 186 1
193 233 1
76 142 1
29 69 1
60 152 1
129 130 1
91 239 1
62 219 1
54 16 1
212 31 1
0 235 1
225 174 1
30 200 1
231 89 1
209 223 1
0 27 1
28 107 1
117 239 1
100 10 1
152 166 1
107 238 1
228 47 1
18 162 1
220 234 1
224 173 1
140 24 1
164 139 1
185 212 1
7 138 1
56 213 1
75 76 1
114 219 1
150 177 1
0 196 1
32 189 1
134 213 1
161 136 1
211 160 1
62 180 1
28 3 1
82 148 1
20 138 1
98 177 1
63 103 1
167 77 1
100 192 1
138 61 1
198 82 1
231 102 1
200 149 1
238 57 1
235 197 1
163 125 1
88 167 1
183 210 1
230 153 1
155 130 1
185 43 1
2 81 1
58 215 1
192 11 1
42 43 1
204 192 1
34 22 1
68 212 1
225 135 1
123 202 1
96 136 1
14 197 1
180 25 1
235 2 1
166 102 1
223 55 1
64 182 1
223 237 1
203 126 1
61 49 1
134 200 1
0 170 1
40 54 1
111 203 1
34 191 1
