150 2100
0 71 1
71 63 1
63 103 1
103 117 1
117 36 1
36 75 1
75 112 1
112 129 1
129 146 1
146 82 1
82 95 1
95 72 1
72 35 1
35 70 1
70 109 1
109 93 1
93 113 1
113 12 1
12 99 1
99 10 1
10 33 1
33 134 1
134 85 1
85 140 1
140 4 1
4 8 1
8 47 1
47 42 1
42 110 1
110 122 1
122 24 1
24 130 1
130 18 1
18 138 1
138 147 1
147 69 1
69 15 1
15 77 1
77 1 1
1 46 1
46 89 1
89 80 1
80 32 1
32 108 1
108 17 1
17 39 1
39 96 1
96 30 1
30 28 1
28 149 1
68 108 1
45 147 1
15 42 1
69 126 1
90 108 1
28 17 1
17 54 1
2 89 1
79 106 1
55 128 1
9 116 1
108 52 1
145 104 1
80 61 1
6 139 1
123 100 1
149 103 1
34 38 1
5 99 1
3 86 1
37 2 1
11 107 1
78 55 1
144 88 1
123 134 1
125 90 1
2 82 1
129 52 1
36 119 1
104 0 1
20 136 1
39 26 1
52 51 1
116 109 1
125 137 1
112 76 1
124 5 1
133 115 1
51 147 1
124 75 1
132 94 1
114 102 1
48 131 1
24 21 1
145 50 1
76 128 1
140 68 1
45 2 1
87 12 1
112 115 1
80 91 1
133 46 1
88 145 1
123 80 1
27 5 1
96 34 1
53 9 1
137 90 1
31 135 1
30 95 1
104 103 1
149 31 1
121 59 1
112 9 1
26 58 1
54 2 1
75 60 1
117 9 1
127 56 1
67 5 1
107 92 1
31 86 1
43 74 1
86 26 1
0 54 1
16 81 1
36 54 1
3 18 1
57 80 1
138 102 1
59 8 1
148 70 1
123 114 1
69 44 1
114 68 1
148 97 1
95 63 1
128 58 1
129 5 1
137 11 1
143 113 1
8 148 1
18 62 1
30 137 1
7 39 1
125 4 1
83 17 1
87 83 1
111 47 1
37 76 1
9 32 1
88 27 1
21 146 1
13 51 1
101 38 1
120 100 1
23 137 1
96 121 1
132 19 1
61 110 1
69 87 1
37 27 1
73 75 1
54 83 1
149 93 1
138 71 1
112 73 1
105 47 1
9 42 1
149 39 1
53 43 1
49 82 1
148 99 1
84 29 1
59 47 1
83 117 1
90 57 1
111 65 1
78 117 1
76 15 1
39 63 1
91 2 1
134 5 1
89 48 1
76 75 1
35 20 1
77 7 1
2 123 1
102 49 1
49 87 1
75 104 1
121 147 1
91 62 1
100 24 1
67 53 1
52 79 1
127 107 1
39 56 1
148 137 1
80 120 1
20 74 1
84 126 1
84 65 1
33 93 1
26 49 1
116 2 1
88 77 1
102 108 1
60 20 1
92 67 1
106 89 1
114 38 1
115 142 1
110 98 1
4 10 1
64 16 1
143 94 1
30 25 1
23 6 1
86 97 1
116 88 1
88 133 1
17 0 1
78 141 1
38 13 1
26 125 1
52 46 1
59 131 1
63 94 1
2 71 1
48 10 1
22 104 1
60 145 1
84 17 1
62 33 1
137 134 1
31 129 1
35 58 1
148 7 1
8 128 1
66 125 1
56 87 1
64 29 1
51 46 1
124 111 1
103 148 1
89 40 1
59 101 1
61 124 1
54 99 1
129 11 1
117 29 1
137 114 1
131 116 1
8 14 1
26 132 1
130 90 1
74 48 1
13 104 1
67 27 1
3 71 1
3 63 1
29 60 1
119 61 1
117 115 1
133 65 1
124 147 1
7 13 1
119 109 1
14 95 1
83 105 1
16 132 1
63 80 1
110 14 1
5 3 1
47 112 1
85 0 1
96 104 1
112 142 1
7 70 1
75 71 1
39 45 1
38 31 1
83 102 1
143 45 1
78 91 1
75 106 1
116 23 1
51 93 1
71 116 1
123 147 1
91 23 1
117 26 1
46 33 1
1 58 1
60 130 1
113 70 1
55 2 1
1 5 1
90 70 1
128 1 1
116 71 1
82 119 1
93 120 1
80 85 1
131 20 1
122 44 1
132 10 1
39 125 1
48 55 1
115 42 1
7 0 1
149 2 1
103 93 1
49 3 1
136 65 1
19 104 1
122 125 1
111 90 1
11 96 1
56 23 1
139 101 1
33 40 1
34 29 1
2 5 1
32 73 1
58 130 1
1 65 1
50 107 1
13 117 1
138 82 1
99 50 1
12 95 1
37 74 1
54 11 1
116 104 1
7 31 1
62 107 1
128 28 1
116 28 1
139 36 1
9 10 1
19 12 1
29 13 1
16 41 1
77 61 1
96 93 1
48 42 1
60 90 1
102 133 1
116 92 1
61 32 1
130 51 1
64 3 1
24 127 1
37 78 1
97 37 1
119 21 1
144 83 1
138 86 1
75 65 1
40 0 1
28 73 1
35 64 1
25 32 1
107 103 1
65 126 1
45 39 1
61 138 1
64 87 1
59 108 1
127 122 1
104 140 1
112 51 1
7 36 1
5 56 1
44 130 1
97 84 1
81 72 1
5 117 1
27 26 1
124 48 1
81 22 1
67 65 1
133 38 1
112 62 1
28 140 1
124 47 1
76 86 1
56 8 1
29 42 1
70 37 1
69 52 1
39 84 1
48 74 1
24 112 1
60 4 1
121 47 1
98 121 1
18 16 1
54 1 1
58 37 1
7 133 1
118 142 1
56 9 1
96 67 1
20 93 1
98 128 1
128 127 1
34 52 1
15 21 1
125 26 1
104 112 1
3 84 1
144 80 1
132 24 1
88 128 1
109 55 1
51 136 1
88 33 1
123 66 1
19 145 1
111 18 1
138 14 1
52 106 1
85 73 1
114 41 1
13 149 1
96 114 1
27 103 1
145 67 1
127 22 1
18 97 1
14 48 1
104 110 1
137 56 1
61 54 1
114 57 1
118 1 1
100 128 1
34 62 1
17 137 1
148 94 1
121 106 1
20 94 1
73 136 1
129 137 1
109 73 1
105 10 1
21 108 1
51 8 1
39 19 1
78 134 1
51 75 1
125 131 1
43 33 1
125 143 1
135 129 1
106 68 1
79 117 1
121 1 1
35 54 1
90 99 1
124 108 1
89 135 1
61 67 1
109 139 1
29 6 1
38 75 1
123 2 1
26 0 1
124 17 1
1 87 1
107 132 1
6 33 1
28 11 1
24 83 1
123 133 1
27 74 1
92 53 1
57 68 1
122 114 1
15 90 1
132 78 1
131 102 1
13 87 1
122 136 1
56 98 1
49 119 1
62 48 1
40 19 1
52 68 1
61 18 1
0 58 1
14 60 1
113 58 1
106 77 1
37 98 1
116 18 1
25 6 1
124 45 1
62 3 1
73 60 1
67 29 1
133 126 1
7 60 1
123 107 1
9 14 1
99 148 1
115 86 1
75 35 1
68 118 1
34 111 1
61 149 1
77 98 1
45 34 1
89 33 1
138 27 1
125 124 1
29 2 1
26 11 1
112 60 1
43 73 1
74 19 1
54 132 1
84 23 1
141 21 1
105 129 1
40 117 1
28 7 1
33 91 1
107 94 1
107 53 1
78 34 1
53 115 1
121 30 1
66 123 1
23 72 1
55 96 1
6 98 1
9 85 1
109 133 1
141 54 1
72 126 1
93 5 1
2 78 1
92 52 1
128 67 1
83 122 1
43 31 1
101 140 1
49 94 1
79 147 1
78 42 1
76 89 1
89 23 1
120 8 1
145 53 1
9 108 1
142 135 1
62 144 1
123 0 1
119 132 1
80 116 1
38 114 1
10 49 1
4 2 1
24 56 1
78 16 1
98 53 1
129 9 1
130 45 1
146 26 1
33 44 1
48 76 1
104 136 1
114 66 1
8 16 1
118 89 1
70 71 1
76 39 1
119 111 1
97 3 1
0 2 1
63 44 1
108 69 1
45 95 1
26 35 1
99 137 1
4 45 1
50 146 1
74 135 1
134 59 1
101 27 1
51 54 1
27 149 1
88 4 1
20 78 1
21 140 1
88 111 1
96 71 1
33 58 1
67 136 1
0 111 1
6 81 1
135 80 1
104 124 1
4 78 1
14 21 1
5 24 1
127 47 1
71 53 1
87 146 1
68 112 1
49 48 1
143 124 1
79 127 1
20 110 1
81 139 1
143 126 1
65 5 1
1 3 1
48 124 1
17 127 1
117 142 1
118 41 1
65 133 1
145 36 1
73 35 1
133 107 1
91 50 1
92 95 1
72 37 1
106 130 1
119 45 1
60 18 1
38 147 1
25 94 1
140 29 1
97 98 1
28 27 1
60 49 1
29 122 1
71 123 1
