280 300
0 9 1
9 22 1
22 166 1
166 187 1
187 112 1
112 181 1
181 247 1
247 14 1
14 85 1
85 257 1
257 270 1
270 103 1
103 206 1
206 47 1
47 253 1
253 142 1
142 263 1
263 51 1
51 177 1
177 4 1
4 182 1
182 254 1
254 224 1
224 175 1
175 31 1
31 59 1
59 102 1
102 251 1
251 57 1
57 84 1
84 167 1
167 209 1
209 113 1
113 153 1
153 150 1
150 198 1
198 146 1
146 5 1
5 28 1
28 140 1
140 204 1
204 278 1
278 30 1
30 242 1
242 100 1
100 90 1
90 20 1
20 54 1
54 144 1
144 98 1
98 119 1
119 191 1
191 161 1
161 141 1
141 62 1
62 200 1
200 240 1
240 96 1
96 230 1
230 120 1
120 75 1
75 131 1
131 149 1
149 99 1
99 72 1
72 217 1
217 179 1
179 249 1
249 199 1
199 107 1
107 105 1
105 97 1
97 23 1
23 111 1
111 50 1
50 151 1
151 159 1
159 123 1
123 154 1
154 7 1
7 168 1
168 164 1
164 234 1
234 165 1
165 261 1
261 274 1
274 241 1
241 64 1
64 173 1
173 203 1
203 218 1
218 169 1
169 279 1
122 145 1
239 131 1
117 198 1
203 115 1
245 253 1
35 51 1
272 43 1
115 72 1
159 150 1
161 41 1
271 132 1
147 145 1
252 59 1
189 7 1
248 50 1
40 252 1
258 183 1
234 178 1
254 35 1
246 245 1
256 71 1
140 208 1
109 244 1
214 52 1
279 250 1
54 205 1
269 17 1
22 56 1
43 263 1
118 30 1
131 56 1
3 120 1
71 107 1
219 68 1
26 6 1
216 59 1
22 156 1
4 188 1
14 1 1
102 272 1
70 224 1
214 102 1
13 211 1
142 214 1
100 206 1
231 159 1
78 275 1
203 186 1
92 179 1
83 158 1
49 167 1
153 270 1
199 74 1
33 135 1
87 12 1
56 102 1
39 174 1
265 162 1
40 200 1
192 116 1
79 0 1
244 50 1
278 28 1
60 200 1
50 69 1
67 77 1
80 277 1
218 274 1
159 243 1
151 252 1
57 85 1
233 74 1
147 62 1
66 22 1
205 161 1
91 70 1
115 45 1
68 239 1
38 36 1
153 0 1
67 59 1
96 246 1
77 168 1
76 110 1
139 243 1
66 183 1
180 230 1
2 180 1
194 158 1
115 49 1
24 156 1
184 24 1
119 211 1
107 72 1
211 60 1
103 220 1
244 156 1
231 38 1
131 67 1
279 121 1
269 191 1
260 268 1
124 171 1
129 256 1
170 241 1
19 57 1
233 41 1
179 177 1
203 178 1
274 224 1
216 55 1
74 19 1
219 96 1
12 7 1
172 194 1
240 92 1
87 69 1
56 223 1
215 75 1
32 19 1
138 278 1
3 206 1
250 224 1
147 51 1
91 26 1
127 18 1
28 91 1
163 197 1
249 98 1
246 270 1
52 1 1
93 91 1
205 95 1
174 43 1
205 98 1
233 73 1
58 101 1
86 133 1
139 48 1
49 239 1
88 133 1
66 181 1
118 169 1
36 75 1
96 190 1
147 157 1
154 263 1
44 84 1
103 108 1
110 115 1
149 52 1
233 46 1
150 126 1
110 30 1
222 53 1
225 216 1
15 35 1
218 64 1
210 133 1
108 243 1
68 231 1
263 158 1
248 273 1
168 162 1
15 161 1
223 255 1
271 232 1
56 224 1
273 24 1
254 210 1
145 265 1
161 32 1
23 250 1
135 168 1
199 141 1
72 189 1
258 262 1
95 50 1
68 126 1
236 256 1
73 74 1
55 19 1
35 87 1
211 16 1
174 93 1
44 133 1
259 87 1
191 45 1
238 218 1
221 235 1
197 238 1
212 16 1
7 151 1
64 200 1
117 271 1
165 190 1
78 20 1
261 143 1
134 58 1
116 17 1
117 132 1
12 152 1
70 151 1
24 58 1
147 48 1
56 244 1
73 111 1
